TITLE	13.1_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/04/29
TIME	12:18:51
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.05
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  550.0000
LASTX	  350.0000
NPOINTS	    4001
FIRSTY	    75.37814
MAXY	    78.53323
MINY	     0.00300
XYDATA
550.0000	75.3781
549.9500	75.4041
549.9000	75.4273
549.8500	75.4522
549.8000	75.4755
549.7500	75.4977
549.7000	75.515
549.6500	75.5332
549.6000	75.5471
549.5500	75.5611
549.5000	75.5746
549.4500	75.5856
549.4000	75.5921
549.3500	75.6007
549.3000	75.6065
549.2500	75.6093
549.2000	75.6111
549.1500	75.6124
549.1000	75.612
549.0500	75.6111
549.0000	75.6047
548.9500	75.6
548.9000	75.5928
548.8500	75.5857
548.8000	75.5724
548.7500	75.5589
548.7000	75.5461
548.6500	75.5288
548.6000	75.5102
548.5500	75.4882
548.5000	75.4694
548.4500	75.4505
548.4000	75.4293
548.3500	75.4053
548.3000	75.3795
548.2500	75.3524
548.2000	75.3215
548.1500	75.2917
548.1000	75.2628
548.0500	75.2323
548.0000	75.1949
547.9500	75.1592
547.9000	75.1212
547.8500	75.08
547.8000	75.0427
547.7500	75.0015
547.7000	74.9605
547.6500	74.9216
547.6000	74.8799
547.5500	74.8337
547.5000	74.7894
547.4500	74.7452
547.4000	74.7001
547.3500	74.6489
547.3000	74.6019
547.2500	74.5507
547.2000	74.5027
547.1500	74.4542
547.1000	74.4029
547.0500	74.3508
547.0000	74.3005
546.9500	74.2496
546.9000	74.1996
546.8500	74.1469
546.8000	74.0935
546.7500	74.0388
546.7000	73.9847
546.6500	73.9332
546.6000	73.8796
546.5500	73.8251
546.5000	73.7721
546.4500	73.7186
546.4000	73.671
546.3500	73.6181
546.3000	73.5654
546.2500	73.5168
546.2000	73.4642
546.1500	73.4123
546.1000	73.3605
546.0500	73.3068
546.0000	73.2582
545.9500	73.2083
545.9000	73.1572
545.8500	73.1085
545.8000	73.0631
545.7500	73.0182
545.7000	72.9712
545.6500	72.9249
545.6000	72.8808
545.5500	72.8348
545.5000	72.7915
545.4500	72.7518
545.4000	72.7136
545.3500	72.6711
545.3000	72.6315
545.2500	72.5921
545.2000	72.5563
545.1500	72.5235
545.1000	72.4895
545.0500	72.4572
545.0000	72.4269
544.9500	72.3967
544.9000	72.3693
544.8500	72.3401
544.8000	72.3129
544.7500	72.2866
544.7000	72.2661
544.6500	72.2435
544.6000	72.2244
544.5500	72.207
544.5000	72.1924
544.4500	72.1758
544.4000	72.1625
544.3500	72.1521
544.3000	72.1432
544.2500	72.1303
544.2000	72.1188
544.1500	72.1112
544.1000	72.1082
544.0500	72.1063
544.0000	72.1063
543.9500	72.108
