TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/21
TIME	17:01:56
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	    83.45750
MAXY	    86.04787
MINY	     0.00617
XYDATA
2389.0000	73.8035
2388.0000	73.7115
2387.0000	73.582
2386.0000	73.5689
2385.0000	73.4284
2384.0000	73.3201
2383.0000	73.3232
2382.0000	73.2477
2381.0000	73.2073
2380.0000	73.1297
2379.0000	73.0887
2378.0000	72.9949
2377.0000	72.9244
2376.0000	72.7928
2375.0000	72.7847
2374.0000	72.7394
2373.0000	72.6495
2372.0000	72.6691
2371.0000	72.6918
2370.0000	72.7237
2369.0000	72.7291
2368.0000	72.6985
2367.0000	72.6412
2366.0000	72.6185
2365.0000	72.6007
2364.0000	72.5919
2363.0000	72.5381
2362.0000	72.5315
2361.0000	72.6036
2360.0000	72.6427
2359.0000	72.6422
2358.0000	72.6802
2357.0000	72.7435
2356.0000	72.8195
2355.0000	72.8254
2354.0000	72.9069
2353.0000	72.9934
2352.0000	73.0262
2351.0000	73.0551
2350.0000	73.0639
2349.0000	73.1407
2348.0000	73.1594
2347.0000	73.2643
2346.0000	73.3191
2345.0000	73.4395
2344.0000	73.5165
2343.0000	73.6881
2342.0000	73.8556
2341.0000	73.9032
2340.0000	74.0547
2339.0000	74.2199
2338.0000	74.3753
2337.0000	74.4561
2336.0000	74.5131
2335.0000	74.6098
2334.0000	74.7479
2333.0000	74.822
2332.0000	74.9518
2331.0000	75.1627
2330.0000	75.2759
2329.0000	75.4691
2328.0000	75.6371
2327.0000	75.8399
2326.0000	76.0673
2325.0000	76.2437
2324.0000	76.4076
2323.0000	76.6481
2322.0000	76.798
2321.0000	76.9483
2320.0000	77.1678
2319.0000	77.3783
2318.0000	77.49
2317.0000	77.671
2316.0000	77.8943
2315.0000	78.0709
