TITLE	12.1_V_10
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/04/27
TIME	12:23:47
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 1500.0000
LASTX	  200.0000
NPOINTS	    1301
FIRSTY	    57.51072
MAXY	    66.41182
MINY	     0.00085
XYDATA
1389.0000	62.2042
1388.0000	62.6299
1387.0000	63.0658
1386.0000	63.4705
1385.0000	63.8305
1384.0000	64.1618
1383.0000	64.5374
1382.0000	64.864
1381.0000	65.13
1380.0000	65.4398
1379.0000	65.6252
1378.0000	65.8339
1377.0000	65.9776
1376.0000	66.0905
1375.0000	66.2083
1374.0000	66.246
1373.0000	66.1706
1372.0000	66.065
1371.0000	65.9393
1370.0000	65.7422
1369.0000	65.5521
1368.0000	65.3006
1367.0000	64.9643
1366.0000	64.6088
1365.0000	64.2939
1364.0000	63.9045
1363.0000	63.5137
1362.0000	63.1153
1361.0000	62.7071
1360.0000	62.2814
1359.0000	61.9019
1358.0000	61.462
1357.0000	61.0384
1356.0000	60.6438
1355.0000	60.2866
1354.0000	59.9302
1353.0000	59.5834
1352.0000	59.188
1351.0000	58.8206
1350.0000	58.5104
1349.0000	58.2701
1348.0000	57.9675
1347.0000	57.76
1346.0000	57.5564
1345.0000	57.3988
1344.0000	57.2113
1343.0000	57.0979
1342.0000	57.0356
1341.0000	57.0195
1340.0000	56.9929
1339.0000	56.9366
1338.0000	57.0068
1337.0000	57.1153
1336.0000	57.2389
1335.0000	57.4065
1334.0000	57.6353
1333.0000	57.8289
1332.0000	58.0669
1331.0000	58.3593
1330.0000	58.6751
1329.0000	59.0261
1328.0000	59.3811
1327.0000	59.7613
1326.0000	60.1224
1325.0000	60.5829
1324.0000	60.9769
1323.0000	61.4035
1322.0000	61.8253
1321.0000	62.2497
1320.0000	62.6751
1319.0000	63.0922
1318.0000	63.4671
1317.0000	63.8666
1316.0000	64.2595
1315.0000	64.565
1314.0000	64.8761
1313.0000	65.0899
1312.0000	65.3321
1311.0000	65.5521
1310.0000	65.6964
1309.0000	65.8126
1308.0000	65.8626
1307.0000	65.9122
1306.0000	65.9046
1305.0000	65.8044
1304.0000	65.7095
1303.0000	65.5663
1302.0000	65.3162
1301.0000	65.0892
1300.0000	64.7967
1299.0000	64.5065
1298.0000	64.1167
1297.0000	63.7537
1296.0000	63.3641
1295.0000	62.9869
1294.0000	62.5724
1293.0000	62.1256
1292.0000	61.6942
1291.0000	61.2934
1290.0000	60.8362
1289.0000	60.4004
1288.0000	60.0248
1287.0000	59.6756
1286.0000	59.3485
1285.0000	58.959
1284.0000	58.6181
1283.0000	58.3994
1282.0000	58.1589
1281.0000	57.9128
1280.0000	57.711
1279.0000	57.6239
1278.0000	57.5208
1277.0000	57.4576
1276.0000	57.5108
1275.0000	57.52
1274.0000	57.5795
1273.0000	57.679
1272.0000	57.8364
1271.0000	58.0362
1270.0000	58.2621
1269.0000	58.5106
1268.0000	58.8067
1267.0000	59.1236
1266.0000	59.461
1265.0000	59.8407
1264.0000	60.2664
1263.0000	60.6914
1262.0000	61.0918
1261.0000	61.5547
1260.0000	62.0065
1259.0000	62.3967
1258.0000	62.8228
1257.0000	63.2399
1256.0000	63.6727
1255.0000	64.0395
1254.0000	64.3828
1253.0000	64.6561
1252.0000	64.9466
1251.0000	65.2219
1250.0000	65.3894
1249.0000	65.553
1248.0000	65.6767
1247.0000	65.701
1246.0000	65.7577
1245.0000	65.7512
1244.0000	65.6322
1243.0000	65.4566
1242.0000	65.2843
1241.0000	65.0665
1240.0000	64.7749
1239.0000	64.4726
1238.0000	64.0984
1237.0000	63.7243
1236.0000	63.3581
1235.0000	62.9762
1234.0000	62.5484
1233.0000	62.1248
1232.0000	61.6908
1231.0000	61.2855
1230.0000	60.876
1229.0000	60.4812
1228.0000	60.0804
1227.0000	59.7578
1226.0000	59.4276
1225.0000	59.1082
1224.0000	58.8568
1223.0000	58.6685
1222.0000	58.4733
1221.0000	58.3096
1220.0000	58.218
1219.0000	58.1466
1218.0000	58.1588
1217.0000	58.233
1216.0000	58.3278
1215.0000	58.4809
1214.0000	58.6255
1213.0000	58.8615
1212.0000	59.1743
1211.0000	59.453
1210.0000	59.7685
1209.0000	60.1982
1208.0000	60.5731
1207.0000	60.9848
1206.0000	61.3921
1205.0000	61.8021
1204.0000	62.2266
1203.0000	62.653
1202.0000	63.0095
1201.0000	63.4241
1200.0000	63.9462
1199.0000	64.2986
1198.0000	64.6471
1197.0000	64.8734
1196.0000	65.1572
1195.0000	65.2995
1194.0000	65.4413
1193.0000	65.5448
1192.0000	65.6189
1191.0000	65.6115
1190.0000	65.496
1189.0000	65.3954
1188.0000	65.2447
1187.0000	64.9991
1186.0000	64.7568
1185.0000	64.4915
1184.0000	64.1634
1183.0000	63.7843
1182.0000	63.4094
1181.0000	63.0386
1180.0000	62.6507
1179.0000	62.2578
1178.0000	61.8345
1177.0000	61.4629
1176.0000	61.0666
1175.0000	60.6825
1174.0000	60.3999
1173.0000	60.0976
1172.0000	59.788
1171.0000	59.5799
1170.0000	59.3779
1169.0000	59.2194
1168.0000	59.1068
1167.0000	59.0542
1166.0000	59.0574
1165.0000	59.0619
1164.0000	59.1656
1163.0000	59.3626
1162.0000	59.5506
1161.0000	59.7792
1160.0000	60.0318
1159.0000	60.3126
1158.0000	60.6314
1157.0000	61.0253
1156.0000	61.4183
1155.0000	61.7831
1154.0000	62.1908
1153.0000	62.6158
1152.0000	63.0192
1151.0000	63.4368
1150.0000	63.77
1149.0000	64.0446
1148.0000	64.3661
1147.0000	64.5903
1146.0000	64.8283
1145.0000	65.0223
1144.0000	65.1257
1143.0000	65.2085
1142.0000	65.233
1141.0000	65.153
1140.0000	65.0752
1139.0000	64.9483
1138.0000	64.7317
1137.0000	64.488
1136.0000	64.2701
1135.0000	63.952
1134.0000	63.5799
1133.0000	63.1961
1132.0000	62.7855
1131.0000	62.375
1130.0000	62.0241
1129.0000	61.6223
1128.0000	61.2296
1127.0000	60.8337
1126.0000	60.5147
1125.0000	60.2653
1124.0000	59.9683
1123.0000	59.721
1122.0000	59.5218
1121.0000	59.3978
1120.0000	59.3259
1119.0000	59.2865
1118.0000	59.3223
1117.0000	59.3675
1116.0000	59.4981
1115.0000	59.6936
1114.0000	59.9415
1113.0000	60.2029
1112.0000	60.4561
1111.0000	60.7949
1110.0000	61.1295
1109.0000	61.4631
1108.0000	61.8451
1107.0000	62.2182
1106.0000	62.5997
1105.0000	63.004
1104.0000	63.359
1103.0000	63.678
1102.0000	63.9921
1101.0000	64.2299
1100.0000	64.4344
1099.0000	64.5714
1098.0000	64.6881
1097.0000	64.7409
1096.0000	64.7485
1095.0000	64.6827
1094.0000	64.5693
1093.0000	64.3729
1092.0000	64.1997
1091.0000	63.9449
1090.0000	63.6451
1089.0000	63.3011
1088.0000	62.9845
1087.0000	62.6316
1086.0000	62.1976
1085.0000	61.8146
1084.0000	61.4389
1083.0000	61.1297
1082.0000	60.8118
1081.0000	60.5022
1080.0000	60.222
1079.0000	59.9656
1078.0000	59.7842
1077.0000	59.6714
1076.0000	59.5868
1075.0000	59.5669
1074.0000	59.5801
1073.0000	59.6538
1072.0000	59.769
1071.0000	59.9379
1070.0000	60.1363
1069.0000	60.3742
1068.0000	60.7095
1067.0000	61.0259
1066.0000	61.3929
1065.0000	61.7054
1064.0000	62.082
1063.0000	62.5321
1062.0000	62.8352
1061.0000	63.1275
1060.0000	63.3959
1059.0000	63.6828
1058.0000	63.8921
1057.0000	64.0234
1056.0000	64.1475
1055.0000	64.2348
1054.0000	64.2191
1053.0000	64.1179
1052.0000	63.9968
1051.0000	63.8321
1050.0000	63.5859
1049.0000	63.3214
1048.0000	63.0439
1047.0000	62.7236
1046.0000	62.4101
1045.0000	62.0476
1044.0000	61.6448
1043.0000	61.3072
1042.0000	60.9277
1041.0000	60.5441
1040.0000	60.2607
1039.0000	60.0343
1038.0000	59.8441
1037.0000	59.6739
1036.0000	59.5921
1035.0000	59.5801
1034.0000	59.5702
1033.0000	59.6717
1032.0000	59.7878
1031.0000	59.9387
1030.0000	60.1122
1029.0000	60.3832
1028.0000	60.7279
1027.0000	61.0572
1026.0000	61.3594
1025.0000	61.7573
1024.0000	62.1277
1023.0000	62.4153
1022.0000	62.7362
1021.0000	62.9685
1020.0000	63.1932
1019.0000	63.3531
1018.0000	63.4908
1017.0000	63.578
1016.0000	63.5877
1015.0000	63.5501
1014.0000	63.4392
1013.0000	63.2523
1012.0000	63.0026
1011.0000	62.7557
1010.0000	62.4303
1009.0000	62.1237
1008.0000	61.732
1007.0000	61.3568
1006.0000	61.0114
1005.0000	60.6255
1004.0000	60.3118
1003.0000	60.0014
1002.0000	59.7247
1001.0000	59.472
1000.0000	59.2913
999.0000	59.2055
998.0000	59.128
997.0000	59.1673
996.0000	59.2824
995.0000	59.395
994.0000	59.5826
993.0000	59.8193
992.0000	60.0717
991.0000	60.3961
990.0000	60.7262
989.0000	61.0732
988.0000	61.4436
987.0000	61.79
986.0000	62.0767
985.0000	62.3633
984.0000	62.5701
983.0000	62.7029
982.0000	62.8806
981.0000	62.9288
980.0000	62.8691
979.0000	62.8379
978.0000	62.731
977.0000	62.5459
976.0000	62.3044
975.0000	61.9866
974.0000	61.6679
973.0000	61.3621
972.0000	60.9727
971.0000	60.5921
970.0000	60.247
969.0000	59.9036
968.0000	59.558
967.0000	59.2171
966.0000	59.0282
965.0000	58.8761
964.0000	58.7661
963.0000	58.7592
962.0000	58.8428
961.0000	58.9273
960.0000	59.1048
959.0000	59.2758
958.0000	59.5539
957.0000	59.8955
956.0000	60.181
955.0000	60.5018
954.0000	60.8967
953.0000	61.1737
952.0000	61.4638
951.0000	61.7222
950.0000	61.9235
949.0000	62.0939
948.0000	62.1663
947.0000	62.2087
946.0000	62.0896
945.0000	61.9654
944.0000	61.8275
943.0000	61.6051
942.0000	61.31
941.0000	61.005
940.0000	60.7144
939.0000	60.3848
938.0000	59.9834
937.0000	59.6348
936.0000	59.3046
935.0000	58.9809
934.0000	58.7255
933.0000	58.5478
932.0000	58.4542
931.0000	58.4402
930.0000	58.3759
929.0000	58.4932
928.0000	58.5948
927.0000	58.7375
926.0000	59.0445
925.0000	59.3005
924.0000	59.5937
923.0000	59.9123
922.0000	60.2618
921.0000	60.5502
920.0000	60.7995
919.0000	61.0406
918.0000	61.2188
917.0000	61.3595
916.0000	61.4167
915.0000	61.4583
914.0000	61.3974
913.0000	61.2748
912.0000	60.9371
911.0000	60.6371
910.0000	60.3874
909.0000	60.0561
908.0000	59.6549
907.0000	59.341
906.0000	58.9916
905.0000	58.6397
904.0000	58.3818
903.0000	58.0635
902.0000	57.9629
901.0000	57.8227
900.0000	50.7358
899.0000	49.9088
898.0000	49.1128
897.0000	48.6614
896.0000	48.6323
895.0000	48.2883
894.0000	48.2976
893.0000	48.5745
892.0000	49.0567
891.0000	49.3364
890.0000	49.8958
889.0000	50.5474
888.0000	51.4348
887.0000	52.2334
886.0000	52.9793
885.0000	53.7619
884.0000	54.3541
883.0000	54.9243
882.0000	55.2933
881.0000	55.3948
880.0000	55.4327
879.0000	55.0698
878.0000	54.6625
877.0000	54.1669
876.0000	53.3193
875.0000	52.391
874.0000	51.4057
873.0000	50.4583
872.0000	49.5498
871.0000	48.7427
870.0000	48.1031
869.0000	47.5207
868.0000	47.1108
867.0000	46.9228
866.0000	46.9041
865.0000	47.0961
864.0000	47.4562
863.0000	47.9848
862.0000	48.6325
861.0000	49.4805
860.0000	50.3738
859.0000	51.3075
858.0000	52.2379
857.0000	53.1899
856.0000	53.9791
855.0000	54.5703
854.0000	55.0186
853.0000	55.1439
