TITLE	prova_10
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/04/27
TIME	17:52:33
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    61.78018
MAXY	    63.97551
MINY	     0.00229
XYDATA
727.0000	55.8077
726.0000	56.6438
725.0000	57.7403
724.0000	58.9865
723.0000	60.2669
722.0000	61.4273
721.0000	62.3295
720.0000	62.8744
719.0000	62.9868
718.0000	62.6674
717.0000	61.9517
716.0000	60.9351
715.0000	59.7557
714.0000	58.5588
713.0000	57.4849
712.0000	56.6537
711.0000	56.1598
710.0000	56.0635
709.0000	56.3726
708.0000	57.0575
707.0000	58.0435
706.0000	59.2262
705.0000	60.4571
704.0000	61.5789
703.0000	62.4549
702.0000	62.9583
701.0000	63.0287
700.0000	62.657
699.0000	61.9131
698.0000	60.9155
697.0000	59.8094
696.0000	58.7451
695.0000	57.8695
694.0000	57.2873
693.0000	57.0793
692.0000	57.2702
691.0000	57.8424
690.0000	58.7489
689.0000	59.8824
688.0000	61.1134
687.0000	62.2864
686.0000	63.2335
685.0000	63.8265
684.0000	63.9755
683.0000	63.6525
682.0000	62.9294
681.0000	61.9264
680.0000	60.8085
679.0000	59.7544
678.0000	58.9193
677.0000	58.4214
676.0000	58.3338
675.0000	58.6599
674.0000	59.3429
673.0000	60.2978
672.0000	61.3802
671.0000	62.4235
670.0000	63.2744
669.0000	63.7961
668.0000	63.9039
667.0000	63.5873
666.0000	62.9002
665.0000	61.9839
664.0000	60.9864
663.0000	60.0805
662.0000	59.4122
661.0000	59.0899
660.0000	59.162
659.0000	59.6223
658.0000	60.3976
657.0000	61.3574
656.0000	62.3432
655.0000	63.184
654.0000	63.7227
653.0000	63.8758
652.0000	63.6085
651.0000	62.9907
650.0000	62.134
649.0000	61.2124
648.0000	60.3973
647.0000	59.8348
646.0000	59.6285
645.0000	59.8104
644.0000	60.3405
643.0000	61.1294
642.0000	62.0219
641.0000	62.846
640.0000	63.4344
639.0000	63.6757
638.0000	63.5165
637.0000	62.9907
636.0000	62.2192
635.0000	61.355
634.0000	60.5754
633.0000	60.0301
632.0000	59.8254
631.0000	59.9992
630.0000	60.5078
629.0000	61.2418
628.0000	62.0494
627.0000	62.7473
626.0000	63.1936
625.0000	63.2683
624.0000	62.9555
623.0000	62.3228
622.0000	61.5193
621.0000	60.7175
620.0000	60.0873
619.0000	59.756
618.0000	59.7917
617.0000	60.1876
616.0000	60.8484
615.0000	61.6053
614.0000	62.2865
613.0000	62.7195
612.0000	62.7923
611.0000	62.4751
610.0000	61.8443
609.0000	61.039
608.0000	60.2712
607.0000	59.71
606.0000	59.4759
605.0000	59.6183
604.0000	60.0975
603.0000	60.7882
602.0000	61.4993
601.0000	62.031
600.0000	62.1444
599.0000	61.9331
598.0000	61.3671
597.0000	60.5808
596.0000	59.7847
595.0000	59.1791
594.0000	58.9116
593.0000	59.033
592.0000	59.4995
591.0000	60.1721
590.0000	60.8547
589.0000	61.335
588.0000	61.4544
587.0000	61.1586
586.0000	60.5193
585.0000	59.7131
584.0000	58.9436
583.0000	58.4291
582.0000	58.2832
581.0000	58.5421
580.0000	59.1035
579.0000	59.796
578.0000	60.3936
577.0000	60.7023
576.0000	60.5976
575.0000	60.0869
574.0000	59.3256
573.0000	58.5341
572.0000	57.9346
571.0000	57.6938
570.0000	57.8644
569.0000	58.3678
568.0000	59.0379
567.0000	59.6409
566.0000	59.9546
565.0000	59.8452
564.0000	59.3335
563.0000	58.5898
562.0000	57.8422
561.0000	57.3292
560.0000	57.1952
559.0000	57.4646
558.0000	58.0339
557.0000	58.6749
556.0000	59.1502
555.0000	59.2572
554.0000	58.9527
553.0000	58.328
552.0000	57.6072
551.0000	57.0528
550.0000	56.8434
549.0000	57.0402
548.0000	57.5494
547.0000	58.17
546.0000	58.6675
545.0000	58.8281
544.0000	58.5751
543.0000	58.0183
542.0000	57.3922
541.0000	56.9381
540.0000	56.817
539.0000	57.0625
538.0000	57.5763
537.0000	58.1573
536.0000	58.5526
535.0000	58.5897
534.0000	58.2703
533.0000	57.7501
532.0000	57.2582
531.0000	57.0039
530.0000	57.0966
529.0000	57.4907
528.0000	58.0413
527.0000	58.5096
526.0000	58.6964
525.0000	58.5569
524.0000	58.1731
523.0000	57.7763
522.0000	57.5559
521.0000	57.6393
520.0000	57.9608
519.0000	58.4562
518.0000	58.8859
