TITLE	12.1_H_10
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/04/27
TIME	15:21:33
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 1500.0000
LASTX	  200.0000
NPOINTS	    1301
FIRSTY	    53.57231
MAXY	    62.33471
MINY	    -0.00060
XYDATA
1389.0000	58.4461
1388.0000	58.8647
1387.0000	59.2593
1386.0000	59.6204
1385.0000	59.9753
1384.0000	60.3405
1383.0000	60.6411
1382.0000	60.938
1381.0000	61.2252
1380.0000	61.4703
1379.0000	61.6658
1378.0000	61.835
1377.0000	61.9883
1376.0000	62.1152
1375.0000	62.1576
1374.0000	62.1853
1373.0000	62.1235
1372.0000	62.0336
1371.0000	61.9559
1370.0000	61.8587
1369.0000	61.6512
1368.0000	61.426
1367.0000	61.1502
1366.0000	60.8443
1365.0000	60.5226
1364.0000	60.1689
1363.0000	59.8019
1362.0000	59.3989
1361.0000	59.0367
1360.0000	58.6366
1359.0000	58.1924
1358.0000	57.8588
1357.0000	57.4275
1356.0000	57.0107
1355.0000	56.6185
1354.0000	56.2633
1353.0000	55.9207
1352.0000	55.5784
1351.0000	55.235
1350.0000	54.9552
1349.0000	54.6449
1348.0000	54.3837
1347.0000	54.1471
1346.0000	53.9232
1345.0000	53.7355
1344.0000	53.6098
1343.0000	53.4957
1342.0000	53.4132
1341.0000	53.3458
1340.0000	53.3542
1339.0000	53.3916
1338.0000	53.4188
1337.0000	53.5049
1336.0000	53.657
1335.0000	53.8401
1334.0000	54.0158
1333.0000	54.2207
1332.0000	54.4923
1331.0000	54.7722
1330.0000	55.0444
1329.0000	55.3929
1328.0000	55.7608
1327.0000	56.1199
1326.0000	56.5368
1325.0000	56.9051
1324.0000	57.3283
1323.0000	57.7781
1322.0000	58.1716
1321.0000	58.5748
1320.0000	58.972
1319.0000	59.3845
1318.0000	59.7931
1317.0000	60.1989
1316.0000	60.5393
1315.0000	60.8425
1314.0000	61.1099
1313.0000	61.3578
1312.0000	61.5736
1311.0000	61.7542
1310.0000	61.8854
1309.0000	61.996
1308.0000	62.0516
1307.0000	62.0651
1306.0000	62.0193
1305.0000	61.9481
1304.0000	61.8242
1303.0000	61.6498
1302.0000	61.421
1301.0000	61.1906
1300.0000	60.9584
1299.0000	60.6567
1298.0000	60.3257
1297.0000	59.9475
1296.0000	59.5516
1295.0000	59.1595
1294.0000	58.7819
1293.0000	58.3933
1292.0000	57.964
1291.0000	57.5363
1290.0000	57.1309
1289.0000	56.7515
1288.0000	56.3396
1287.0000	55.9912
1286.0000	55.6335
1285.0000	55.3156
1284.0000	55.0089
1283.0000	54.7282
1282.0000	54.549
1281.0000	54.3535
1280.0000	54.205
1279.0000	54.0711
1278.0000	53.9879
1277.0000	53.9316
1276.0000	53.9218
1275.0000	53.9801
1274.0000	54.0477
1273.0000	54.1338
1272.0000	54.2826
1271.0000	54.4748
1270.0000	54.7427
1269.0000	54.9808
1268.0000	55.2673
1267.0000	55.5729
1266.0000	55.9237
1265.0000	56.2812
1264.0000	56.6707
1263.0000	57.1116
1262.0000	57.5495
1261.0000	57.9735
1260.0000	58.3863
1259.0000	58.8247
1258.0000	59.2384
1257.0000	59.635
1256.0000	60.0172
1255.0000	60.3791
1254.0000	60.7289
1253.0000	61.0199
1252.0000	61.2777
1251.0000	61.5114
1250.0000	61.7005
1249.0000	61.8277
1248.0000	61.938
1247.0000	61.983
1246.0000	61.9625
1245.0000	61.9177
1244.0000	61.816
1243.0000	61.6646
1242.0000	61.4876
1241.0000	61.2484
1240.0000	60.9766
1239.0000	60.623
1238.0000	60.33
1237.0000	59.9773
1236.0000	59.5959
1235.0000	59.1841
1234.0000	58.7735
1233.0000	58.3805
1232.0000	57.9637
1231.0000	57.5823
1230.0000	57.1935
1229.0000	56.7969
1228.0000	56.4225
1227.0000	56.1093
1226.0000	55.7693
1225.0000	55.5142
1224.0000	55.2607
1223.0000	55.0541
1222.0000	54.8911
1221.0000	54.7798
1220.0000	54.664
1219.0000	54.6292
1218.0000	54.628
1217.0000	54.6685
1216.0000	54.7885
1215.0000	54.9102
1214.0000	55.0875
1213.0000	55.3331
1212.0000	55.5628
1211.0000	55.841
1210.0000	56.1546
1209.0000	56.5207
1208.0000	56.8559
1207.0000	57.2272
1206.0000	57.643
1205.0000	58.0524
1204.0000	58.4551
1203.0000	58.87
1202.0000	59.2322
1201.0000	59.6354
1200.0000	60.1219
1199.0000	60.4588
1198.0000	60.778
1197.0000	61.0594
1196.0000	61.312
1195.0000	61.5051
1194.0000	61.6368
1193.0000	61.6882
1192.0000	61.7512
1191.0000	61.7486
1190.0000	61.6745
1189.0000	61.5608
1188.0000	61.3879
1187.0000	61.1969
1186.0000	60.9491
1185.0000	60.6548
1184.0000	60.3451
1183.0000	60.0161
1182.0000	59.6489
1181.0000	59.2666
1180.0000	58.9011
1179.0000	58.5276
1178.0000	58.1076
1177.0000	57.7178
1176.0000	57.3778
1175.0000	57.0216
1174.0000	56.7127
1173.0000	56.4344
1172.0000	56.1606
1171.0000	55.9489
1170.0000	55.7442
1169.0000	55.6223
1168.0000	55.5447
1167.0000	55.4686
1166.0000	55.4641
1165.0000	55.4959
1164.0000	55.6218
1163.0000	55.7769
1162.0000	55.979
1161.0000	56.1998
1160.0000	56.4741
1159.0000	56.7639
1158.0000	57.0721
1157.0000	57.4254
1156.0000	57.8244
1155.0000	58.218
1154.0000	58.5766
1153.0000	58.9512
1152.0000	59.3451
1151.0000	59.7206
1150.0000	60.0657
1149.0000	60.38
1148.0000	60.6663
1147.0000	60.9011
1146.0000	61.0878
1145.0000	61.2652
1144.0000	61.3826
1143.0000	61.4247
1142.0000	61.4086
1141.0000	61.4
1140.0000	61.2852
1139.0000	61.1307
1138.0000	60.9249
1137.0000	60.6842
1136.0000	60.456
1135.0000	60.1325
1134.0000	59.7843
1133.0000	59.4239
1132.0000	59.0486
1131.0000	58.6614
1130.0000	58.3063
1129.0000	57.9311
1128.0000	57.5815
1127.0000	57.2062
1126.0000	56.8871
1125.0000	56.6148
1124.0000	56.3125
1123.0000	56.1112
1122.0000	55.9404
1121.0000	55.8411
1120.0000	55.7601
1119.0000	55.7345
1118.0000	55.7362
1117.0000	55.822
1116.0000	55.9642
