TITLE	12.1_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:19:54
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    77.93438
MAXY	    81.61069
MINY	     0.00037
XYDATA
820.0000	70.8199
819.9000	70.6839
819.8000	70.5494
819.7000	70.4256
819.6000	70.2978
819.5000	70.1702
819.4000	70.0547
819.3000	69.9292
819.2000	69.8189
819.1000	69.6936
819.0000	69.5885
818.9000	69.4857
818.8000	69.384
818.7000	69.2875
818.6000	69.1826
818.5000	69.0903
818.4000	69.0022
818.3000	68.9183
818.2000	68.839
818.1000	68.7497
818.0000	68.6742
817.9000	68.5986
817.8000	68.53
817.7000	68.469
817.6000	68.4031
817.5000	68.3457
817.4000	68.2914
817.3000	68.2346
817.2000	68.187
817.1000	68.1432
817.0000	68.1111
816.9000	68.0772
816.8000	68.0331
816.7000	68.0009
816.6000	67.9725
816.5000	67.9574
816.4000	67.9387
816.3000	67.9256
816.2000	67.9121
816.1000	67.9063
816.0000	67.9003
815.9000	67.8974
815.8000	67.8983
815.7000	67.9121
815.6000	67.925
815.5000	67.9383
815.4000	67.9504
815.3000	67.9615
815.2000	67.9926
815.1000	68.0255
815.0000	68.0582
814.9000	68.0959
814.8000	68.138
814.7000	68.1841
814.6000	68.2295
814.5000	68.2778
814.4000	68.3338
814.3000	68.3975
814.2000	68.4577
814.1000	68.5186
814.0000	68.5895
813.9000	68.6582
813.8000	68.7336
813.7000	68.8155
813.6000	68.8926
813.5000	68.9739
813.4000	69.0599
813.3000	69.1481
813.2000	69.239
813.1000	69.3399
813.0000	69.4386
812.9000	69.5474
812.8000	69.6542
812.7000	69.7615
812.6000	69.879
812.5000	69.9937
812.4000	70.1047
812.3000	70.224
812.2000	70.355
812.1000	70.4805
812.0000	70.6127
811.9000	70.7392
811.8000	70.8743
811.7000	71.0095
811.6000	71.1447
811.5000	71.2817
811.4000	71.4275
811.3000	71.5672
811.2000	71.7118
811.1000	71.8613
811.0000	72.0127
810.9000	72.158
810.8000	72.3082
810.7000	72.4632
810.6000	72.6186
810.5000	72.775
810.4000	72.9248
810.3000	73.0786
810.2000	73.2349
810.1000	73.3915
810.0000	73.5548
809.9000	73.7101
809.8000	73.8747
809.7000	74.0327
809.6000	74.1948
809.5000	74.3555
809.4000	74.5153
809.3000	74.6863
809.2000	74.8511
809.1000	75.0221
809.0000	75.1764
808.9000	75.3348
808.8000	75.505
808.7000	75.6713
808.6000	75.8314
808.5000	75.9953
808.4000	76.159
808.3000	76.3166
808.2000	76.468
808.1000	76.6249
808.0000	76.7777
807.9000	76.9248
807.8000	77.0706
807.7000	77.214
807.6000	77.3626
807.5000	77.4973
807.4000	77.6359
807.3000	77.7782
807.2000	77.9075
807.1000	78.0373
807.0000	78.1682
806.9000	78.2935
806.8000	78.4091
806.7000	78.5281
806.6000	78.6461
806.5000	78.7544
806.4000	78.8579
806.3000	78.9673
806.2000	79.0668
806.1000	79.1681
806.0000	79.259
805.9000	79.348
805.8000	79.4297
805.7000	79.501
805.6000	79.5743
805.5000	79.6486
805.4000	79.7173
805.3000	79.7773
805.2000	79.8355
805.1000	79.8908
805.0000	79.9387
804.9000	79.9824
804.8000	80.0294
804.7000	80.0606
804.6000	80.0879
804.5000	80.1088
804.4000	80.1247
804.3000	80.1422
804.2000	80.1528
804.1000	80.1606
804.0000	80.1602
803.9000	80.154
803.8000	80.1416
803.7000	80.1245
803.6000	80.104
803.5000	80.0773
803.4000	80.045
803.3000	80.0089
803.2000	79.9636
803.1000	79.917
803.0000	79.8708
802.9000	79.8105
802.8000	79.757
802.7000	79.6865
802.6000	79.6215
802.5000	79.543
802.4000	79.4692
802.3000	79.3842
802.2000	79.2957
802.1000	79.2145
802.0000	79.1195
801.9000	79.0231
801.8000	78.9187
801.7000	78.8148
801.6000	78.7067
801.5000	78.5926
801.4000	78.4746
801.3000	78.3605
801.2000	78.2364
801.1000	78.1104
801.0000	77.9784
800.9000	77.8489
800.8000	77.7111
800.7000	77.5734
800.6000	77.4277
800.5000	77.2755
800.4000	77.1264
800.3000	76.9744
800.2000	76.8179
800.1000	76.6547
800.0000	76.4912
799.9000	76.3306
799.8000	76.1675
799.7000	75.9982
799.6000	75.8316
799.5000	75.6639
799.4000	75.4858
799.3000	75.3205
799.2000	75.1472
799.1000	74.9743
799.0000	74.8075
798.9000	74.6326
798.8000	74.4592
798.7000	74.2846
798.6000	74.1239
798.5000	73.9523
798.4000	73.7838
798.3000	73.6106
798.2000	73.4392
798.1000	73.2665
798.0000	73.0899
797.9000	72.9193
797.8000	72.7612
797.7000	72.5904
797.6000	72.4302
797.5000	72.2676
797.4000	72.0975
797.3000	71.9386
797.2000	71.7866
797.1000	71.6294
797.0000	71.4622
796.9000	71.3133
796.8000	71.1617
796.7000	71.0185
796.6000	70.8681
796.5000	70.726
796.4000	70.5835
796.3000	70.4462
