TITLE	p-GaN-NP
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:56:37
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    76.30771
MAXY	    79.46679
MINY	     0.00225
XYDATA
820.1000	72.4785
820.0000	72.3636
819.9000	72.2599
819.8000	72.1529
819.7000	72.0542
819.6000	71.9518
819.5000	71.846
819.4000	71.7479
819.3000	71.6462
819.2000	71.5455
819.1000	71.4592
819.0000	71.3568
818.9000	71.2564
818.8000	71.1669
818.7000	71.0726
818.6000	70.9804
818.5000	70.8985
818.4000	70.8201
818.3000	70.7348
818.2000	70.6552
818.1000	70.5776
818.0000	70.505
817.9000	70.4344
817.8000	70.3661
817.7000	70.2956
817.6000	70.2373
817.5000	70.1726
817.4000	70.1174
817.3000	70.0645
817.2000	70.0148
817.1000	69.9643
817.0000	69.9171
816.9000	69.8702
816.8000	69.8199
816.7000	69.7735
816.6000	69.7351
816.5000	69.6976
816.4000	69.6581
816.3000	69.6245
816.2000	69.5879
816.1000	69.567
816.0000	69.5397
815.9000	69.5177
815.8000	69.4971
815.7000	69.4824
815.6000	69.4639
815.5000	69.4483
815.4000	69.4375
815.3000	69.4299
815.2000	69.426
815.1000	69.4335
815.0000	69.4353
814.9000	69.4389
814.8000	69.4493
814.7000	69.4603
814.6000	69.4798
814.5000	69.4945
814.4000	69.5112
814.3000	69.5379
814.2000	69.5608
814.1000	69.5827
814.0000	69.6097
813.9000	69.6531
813.8000	69.6988
813.7000	69.7407
813.6000	69.7848
813.5000	69.8294
813.4000	69.8755
813.3000	69.9256
813.2000	69.9772
813.1000	70.0308
813.0000	70.0865
812.9000	70.1511
812.8000	70.2125
812.7000	70.2746
812.6000	70.3478
812.5000	70.4176
812.4000	70.4946
812.3000	70.5651
812.2000	70.6425
812.1000	70.7235
812.0000	70.8
811.9000	70.8736
811.8000	70.9595
811.7000	71.0462
811.6000	71.1338
811.5000	71.2302
811.4000	71.3178
811.3000	71.4078
811.2000	71.4977
811.1000	71.5943
811.0000	71.695
810.9000	71.8023
810.8000	71.9091
810.7000	72.0172
810.6000	72.1153
810.5000	72.225
810.4000	72.341
810.3000	72.4585
810.2000	72.5745
810.1000	72.6919
810.0000	72.8077
809.9000	72.9231
809.8000	73.0486
809.7000	73.1706
809.6000	73.2965
809.5000	73.4139
809.4000	73.5344
809.3000	73.6554
809.2000	73.7743
809.1000	73.8957
809.0000	74.0222
808.9000	74.1448
808.8000	74.2668
808.7000	74.3902
808.6000	74.5153
808.5000	74.6326
808.4000	74.7639
808.3000	74.8868
808.2000	75.0133
808.1000	75.1353
808.0000	75.265
807.9000	75.3957
807.8000	75.5177
807.7000	75.6385
807.6000	75.7595
807.5000	75.8828
807.4000	76.0063
807.3000	76.1223
807.2000	76.2408
807.1000	76.3558
807.0000	76.4768
806.9000	76.5981
806.8000	76.7066
806.7000	76.8236
806.6000	76.9322
806.5000	77.0392
806.4000	77.1383
806.3000	77.2363
806.2000	77.3423
806.1000	77.446
806.0000	77.551
805.9000	77.6495
805.8000	77.7358
805.7000	77.8322
805.6000	77.9233
805.5000	78.0257
805.4000	78.1066
805.3000	78.1951
805.2000	78.2789
805.1000	78.354
805.0000	78.4285
804.9000	78.4995
804.8000	78.5775
804.7000	78.6494
804.6000	78.7051
804.5000	78.7722
804.4000	78.8287
804.3000	78.8865
804.2000	78.9592
804.1000	79.0128
804.0000	79.0644
803.9000	79.0993
803.8000	79.149
803.7000	79.1865
803.6000	79.2127
803.5000	79.2487
803.4000	79.2774
803.3000	79.3186
803.2000	79.3428
803.1000	79.362
803.0000	79.3874
802.9000	79.3951
802.8000	79.4077
802.7000	79.4127
802.6000	79.4085
802.5000	79.4079
802.4000	79.4061
802.3000	79.4026
802.2000	79.3872
802.1000	79.3766
802.0000	79.3715
801.9000	79.3559
801.8000	79.3403
801.7000	79.3071
801.6000	79.274
801.5000	79.2415
801.4000	79.1978
801.3000	79.1628
801.2000	79.1236
801.1000	79.0844
801.0000	79.0454
800.9000	78.9897
800.8000	78.9369
800.7000	78.884
800.6000	78.824
800.5000	78.7587
800.4000	78.69
800.3000	78.619
800.2000	78.5433
800.1000	78.4676
800.0000	78.3915
799.9000	78.3186
799.8000	78.2418
799.7000	78.1517
799.6000	78.0584
799.5000	77.9605
799.4000	77.8537
799.3000	77.7678
799.2000	77.6659
799.1000	77.5609
799.0000	77.4628
798.9000	77.352
798.8000	77.246
798.7000	77.139
798.6000	77.0306
798.5000	76.9222
798.4000	76.8056
798.3000	76.6881
798.2000	76.5716
798.1000	76.4544
798.0000	76.3392
797.9000	76.2203
797.8000	76.1068
797.7000	75.98
797.6000	75.8582
797.5000	75.7413
797.4000	75.6128
797.3000	75.4946
797.2000	75.3691
797.1000	75.2434
797.0000	75.1173
796.9000	74.9884
796.8000	74.8711
796.7000	74.7475
796.6000	74.618
796.5000	74.4945
796.4000	74.3691
796.3000	74.2457
796.2000	74.121
796.1000	73.9928
796.0000	73.867
795.9000	73.7396
795.8000	73.6079
795.7000	73.4827
795.6000	73.3585
795.5000	73.2363
795.4000	73.11
795.3000	72.9926
795.2000	72.8594
795.1000	72.7355
795.0000	72.6226
794.9000	72.5077
794.8000	72.3921
794.7000	72.2736
794.6000	72.1559
794.5000	72.0473
794.4000	71.9359
794.3000	71.8233
794.2000	71.7242
794.1000	71.6209
794.0000	71.5188
793.9000	71.4166
793.8000	71.3246
793.7000	71.2261
793.6000	71.1444
793.5000	71.0558
793.4000	70.968
793.3000	70.8818
793.2000	70.8029
793.1000	70.7296
793.0000	70.6567
792.9000	70.5792
792.8000	70.5095
792.7000	70.439
792.6000	70.3744
792.5000	70.3109
792.4000	70.2491
792.3000	70.1928
792.2000	70.1375
792.1000	70.0859
792.0000	70.0284
791.9000	69.9819
791.8000	69.9322
791.7000	69.8925
791.6000	69.8503
791.5000	69.8116
791.4000	69.7759
791.3000	69.7476
791.2000	69.7267
791.1000	69.7106
791.0000	69.6868
790.9000	69.6769
790.8000	69.6657
790.7000	69.6553
790.6000	69.6449
790.5000	69.6398
