TITLE	p-GaN_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:27:08
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    75.27925
MAXY	    79.98762
MINY	     0.00049
XYDATA
820.1000	72.4554
820.0000	72.3493
819.9000	72.2482
819.8000	72.1351
819.7000	72.0314
819.6000	71.9271
819.5000	71.8224
819.4000	71.7269
819.3000	71.638
819.2000	71.5527
819.1000	71.4519
819.0000	71.3603
818.9000	71.2775
818.8000	71.1963
818.7000	71.1141
818.6000	71.0311
818.5000	70.9535
818.4000	70.8807
818.3000	70.8067
818.2000	70.7413
818.1000	70.677
818.0000	70.6119
817.9000	70.5481
817.8000	70.489
817.7000	70.4311
817.6000	70.372
817.5000	70.3208
817.4000	70.2682
817.3000	70.2169
817.2000	70.1674
817.1000	70.1308
817.0000	70.0949
816.9000	70.0594
816.8000	70.0214
816.7000	69.9915
816.6000	69.9611
816.5000	69.9361
816.4000	69.9134
816.3000	69.8948
816.2000	69.8779
816.1000	69.8681
816.0000	69.8564
815.9000	69.8483
815.8000	69.8464
815.7000	69.8441
815.6000	69.846
815.5000	69.8459
815.4000	69.8474
815.3000	69.8485
815.2000	69.8613
815.1000	69.8771
815.0000	69.8946
814.9000	69.9111
814.8000	69.9417
814.7000	69.9703
814.6000	69.9956
814.5000	70.0201
814.4000	70.0506
814.3000	70.093
814.2000	70.1316
814.1000	70.1687
814.0000	70.212
813.9000	70.2565
813.8000	70.3067
813.7000	70.3648
813.6000	70.4115
813.5000	70.4729
813.4000	70.5391
813.3000	70.6009
813.2000	70.6612
813.1000	70.7269
813.0000	70.7982
812.9000	70.8741
812.8000	70.9506
812.7000	71.0255
812.6000	71.104
812.5000	71.1843
812.4000	71.2648
812.3000	71.351
812.2000	71.4394
812.1000	71.5275
812.0000	71.6246
811.9000	71.7088
811.8000	71.792
811.7000	71.8935
811.6000	71.988
811.5000	72.0858
811.4000	72.1855
811.3000	72.2925
811.2000	72.3976
811.1000	72.5058
811.0000	72.6134
810.9000	72.7229
810.8000	72.8334
810.7000	72.942
810.6000	73.0656
810.5000	73.1739
810.4000	73.2842
810.3000	73.3981
810.2000	73.5183
810.1000	73.6295
810.0000	73.7489
809.9000	73.8633
809.8000	73.9862
809.7000	74.1038
809.6000	74.2273
809.5000	74.3471
809.4000	74.4759
809.3000	74.6101
809.2000	74.7375
809.1000	74.8701
809.0000	74.9811
808.9000	75.1139
808.8000	75.2417
808.7000	75.3686
808.6000	75.4976
808.5000	75.6305
808.4000	75.7597
808.3000	75.8893
808.2000	76.0122
808.1000	76.137
808.0000	76.2601
807.9000	76.3773
807.8000	76.4917
807.7000	76.6058
807.6000	76.7191
807.5000	76.8302
807.4000	76.9508
807.3000	77.0664
807.2000	77.1833
807.1000	77.2958
807.0000	77.4083
806.9000	77.517
806.8000	77.6213
806.7000	77.7254
806.6000	77.8315
806.5000	77.9333
806.4000	78.0363
806.3000	78.1424
806.2000	78.2416
806.1000	78.341
806.0000	78.4375
805.9000	78.5295
805.8000	78.615
805.7000	78.6982
805.6000	78.773
805.5000	78.8586
805.4000	78.9391
805.3000	79.0041
805.2000	79.0744
805.1000	79.1503
805.0000	79.2224
804.9000	79.2846
804.8000	79.3451
804.7000	79.3993
804.6000	79.4572
804.5000	79.5031
804.4000	79.5522
804.3000	79.5967
804.2000	79.6384
804.1000	79.676
804.0000	79.7152
803.9000	79.7461
803.8000	79.7712
803.7000	79.7959
803.6000	79.8195
803.5000	79.8368
803.4000	79.8515
803.3000	79.865
803.2000	79.8694
803.1000	79.8736
803.0000	79.8674
802.9000	79.867
802.8000	79.8651
802.7000	79.8571
802.6000	79.849
802.5000	79.8337
802.4000	79.8264
802.3000	79.8069
802.2000	79.7842
802.1000	79.7679
802.0000	79.7419
801.9000	79.7039
801.8000	79.6616
801.7000	79.6218
801.6000	79.5796
801.5000	79.5384
801.4000	79.4924
801.3000	79.4463
801.2000	79.3908
801.1000	79.3386
801.0000	79.281
800.9000	79.2172
800.8000	79.146
800.7000	79.0742
800.6000	79.0024
800.5000	78.9257
800.4000	78.8405
800.3000	78.761
800.2000	78.6773
800.1000	78.5835
800.0000	78.4889
799.9000	78.3941
799.8000	78.2992
799.7000	78.1935
799.6000	78.094
799.5000	77.9837
799.4000	77.8706
799.3000	77.7692
799.2000	77.6552
799.1000	77.5428
799.0000	77.4221
798.9000	77.3078
798.8000	77.1936
798.7000	77.073
798.6000	76.9591
798.5000	76.8381
798.4000	76.7142
798.3000	76.5845
798.2000	76.4578
798.1000	76.3367
798.0000	76.2077
797.9000	76.0853
797.8000	75.9578
797.7000	75.8275
797.6000	75.7014
797.5000	75.5725
797.4000	75.4457
797.3000	75.3154
797.2000	75.1933
797.1000	75.0681
797.0000	74.9371
796.9000	74.8178
796.8000	74.6969
796.7000	74.5683
796.6000	74.4464
796.5000	74.3195
796.4000	74.1914
796.3000	74.0635
796.2000	73.9435
796.1000	73.8127
796.0000	73.6909
795.9000	73.5673
795.8000	73.4464
795.7000	73.3225
795.6000	73.1973
795.5000	73.0727
795.4000	72.9491
795.3000	72.8269
795.2000	72.7117
795.1000	72.5999
795.0000	72.4902
794.9000	72.3758
794.8000	72.2727
794.7000	72.1655
794.6000	72.0624
794.5000	71.965
794.4000	71.8605
794.3000	71.7564
794.2000	71.6615
794.1000	71.5695
794.0000	71.4804
793.9000	71.3943
793.8000	71.3088
793.7000	71.2258
793.6000	71.1449
793.5000	71.0659
793.4000	70.9862
793.3000	70.9098
