TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	12:02:38
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    73.12513
MAXY	    84.02065
MINY	    -0.15899
XYDATA
850.0000	73.1251
849.0000	73.6613
848.0000	73.8695
847.0000	75.2559
846.0000	75.8064
845.0000	76.9792
844.0000	78.0862
843.0000	79.1555
842.0000	80.788
841.0000	81.4681
840.0000	82.0681
839.0000	82.8086
838.0000	83.3534
837.0000	83.7508
836.0000	83.1297
835.0000	82.8639
834.0000	82.7041
833.0000	81.9273
832.0000	81.2097
831.0000	80.1061
830.0000	78.6483
829.0000	77.5595
828.0000	76.246
827.0000	75.1591
826.0000	74.4881
825.0000	73.69
824.0000	73.4024
823.0000	73.5911
822.0000	74.2389
821.0000	74.8236
820.0000	75.6556
819.0000	76.4233
818.0000	77.4659
817.0000	78.3342
816.0000	79.3488
815.0000	80.4233
814.0000	81.5803
813.0000	82.3381
812.0000	83.029
811.0000	83.6081
810.0000	83.4615
809.0000	83.3109
808.0000	82.7011
807.0000	81.9268
806.0000	81.0173
805.0000	79.9749
804.0000	78.5404
803.0000	77.5005
802.0000	76.6403
801.0000	75.6149
800.0000	75.0442
799.0000	74.3091
798.0000	74.089
797.0000	74.5257
796.0000	74.6162
795.0000	75.5227
794.0000	76.9074
793.0000	78.0726
792.0000	79.2618
791.0000	80.5903
790.0000	81.8089
789.0000	82.8555
788.0000	83.2739
787.0000	83.6693
786.0000	83.85
785.0000	83.8698
784.0000	83.2991
783.0000	82.5186
782.0000	81.9106
781.0000	80.5021
780.0000	79.3658
779.0000	77.9974
778.0000	76.661
777.0000	75.7899
776.0000	75.0664
775.0000	74.7667
774.0000	74.8611
773.0000	75.1026
772.0000	76.0043
771.0000	77.0656
770.0000	77.8527
769.0000	78.9624
768.0000	80.1156
767.0000	81.5898
766.0000	82.6387
765.0000	83.4177
764.0000	84.0207
763.0000	83.9731
762.0000	83.4443
761.0000	82.3877
760.0000	81.8874
759.0000	80.6216
758.0000	79.0213
757.0000	77.7199
756.0000	76.8954
755.0000	76.0816
754.0000	75.3672
753.0000	74.9232
752.0000	75.2407
751.0000	75.7439
750.0000	76.343
749.0000	77.1823
748.0000	78.3308
747.0000	79.5854
746.0000	80.6869
745.0000	81.5584
744.0000	82.4656
743.0000	83.3071
742.0000	83.5893
741.0000	83.3985
740.0000	83.3406
739.0000	82.2683
738.0000	81.1182
737.0000	79.4711
736.0000	78.1066
735.0000	77.0101
734.0000	76.116
733.0000	75.3228
732.0000	74.8354
731.0000	75.0313
730.0000	75.5665
729.0000	76.4771
728.0000	77.5885
