TITLE	p-GaN_(altra faccia)
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	12:08:42
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    77.75819
MAXY	    83.26441
MINY	    -0.13189
XYDATA
728.0000	75.3498
727.0000	74.759
726.0000	74.3249
725.0000	74.1447
724.0000	74.6809
723.0000	75.3424
722.0000	76.4561
721.0000	77.7355
720.0000	79.2843
719.0000	80.6323
718.0000	81.6837
717.0000	82.5402
716.0000	82.9057
715.0000	82.7686
714.0000	82.2672
713.0000	81.3285
712.0000	80.281
711.0000	78.8615
710.0000	77.5089
709.0000	76.2385
708.0000	75.2817
707.0000	74.7495
706.0000	74.5787
705.0000	74.8415
704.0000	75.5947
703.0000	76.6285
702.0000	77.8991
701.0000	79.2915
700.0000	80.483
699.0000	81.4253
698.0000	82.0209
697.0000	82.4094
696.0000	82.2508
695.0000	81.6052
694.0000	80.6488
693.0000	79.3849
692.0000	78.0599
691.0000	76.7137
690.0000	75.5794
689.0000	74.8569
688.0000	74.5527
687.0000	74.7517
686.0000	75.3657
685.0000	76.5074
684.0000	77.62
683.0000	79.0569
682.0000	80.3451
681.0000	81.405
680.0000	82.0427
679.0000	82.1194
678.0000	81.883
677.0000	81.1738
676.0000	80.0221
675.0000	78.6747
674.0000	77.425
673.0000	76.1792
672.0000	75.3811
671.0000	74.9387
670.0000	75.0102
669.0000	75.5901
668.0000	76.4022
667.0000	77.5047
666.0000	78.9085
665.0000	80.0368
664.0000	81.0439
663.0000	81.6838
662.0000	82.0184
661.0000	81.7411
660.0000	81.0435
659.0000	79.8877
658.0000	78.5806
657.0000	77.1917
656.0000	76.0064
655.0000	75.3704
654.0000	75.0629
653.0000	75.5103
652.0000	76.2482
651.0000	77.3982
650.0000	78.6886
649.0000	79.9319
648.0000	80.9024
647.0000	81.4625
646.0000	81.5267
645.0000	81.0736
644.0000	80.2895
643.0000	79.0862
642.0000	77.7746
641.0000	76.6354
640.0000	75.7502
639.0000	75.4323
638.0000	75.519
637.0000	76.2339
636.0000	77.4147
635.0000	78.569
634.0000	79.8085
633.0000	80.925
632.0000	81.6021
631.0000	81.8474
630.0000	81.3948
629.0000	80.4636
628.0000	79.1722
627.0000	77.8655
626.0000	76.5995
625.0000	75.8233
624.0000	75.4529
623.0000	75.7085
622.0000	76.4334
621.0000	77.6986
620.0000	79.0317
619.0000	80.2297
618.0000	81.0588
617.0000	81.3564
616.0000	81.2141
615.0000	80.3352
614.0000	79.1703
613.0000	77.7544
612.0000	76.6245
611.0000	75.7413
610.0000	75.3894
609.0000	75.7945
608.0000	76.5855
607.0000	77.6987
606.0000	79.017
605.0000	80.1408
604.0000	80.8915
603.0000	81.0321
602.0000	80.5972
601.0000	79.6269
600.0000	78.5629
599.0000	77.3938
598.0000	76.4069
597.0000	75.9297
596.0000	75.9911
595.0000	76.6795
594.0000	77.8558
593.0000	79.0144
592.0000	80.1583
591.0000	80.7468
590.0000	80.9131
589.0000	80.4123
588.0000	79.4373
587.0000	78.2454
586.0000	77.1725
585.0000	76.4064
584.0000	76.3212
583.0000	76.5782
582.0000	77.6478
581.0000	78.7134
580.0000	79.751
579.0000	80.5109
578.0000	80.7139
577.0000	80.2969
576.0000	79.4035
575.0000	78.1401
574.0000	77.0987
573.0000	76.4004
572.0000	76.0333
571.0000	76.2663
570.0000	77.0767
569.0000	78.2401
568.0000	79.3023
567.0000	79.984
566.0000	80.1557
565.0000	79.8308
564.0000	78.9389
563.0000	77.9865
562.0000	76.9922
561.0000	76.4602
560.0000	76.548
559.0000	77.1979
558.0000	78.2977
557.0000	79.1927
556.0000	79.9189
555.0000	80.2044
554.0000	79.7793
553.0000	78.7824
552.0000	77.6953
551.0000	76.9599
550.0000	76.5632
549.0000	76.6235
548.0000	77.2153
547.0000	78.265
546.0000	79.1496
545.0000	79.6644
544.0000	79.635
543.0000	79.0052
542.0000	78.0327
541.0000	77.0542
540.0000	76.5338
539.0000	76.4243
538.0000	76.919
537.0000	77.7358
536.0000	78.7639
535.0000	79.5676
534.0000	79.6287
533.0000	79.1113
532.0000	78.2512
531.0000	77.3598
530.0000	76.7434
529.0000	76.6942
528.0000	77.1073
527.0000	77.8546
526.0000	78.6901
525.0000	79.2154
524.0000	79.168
523.0000	78.6115
522.0000	77.7668
521.0000	77.021
520.0000	76.7077
519.0000	76.8665
518.0000	77.4515
517.0000	78.1955
516.0000	78.9052
515.0000	79.2792
514.0000	78.8861
513.0000	78.2708
512.0000	77.4327
511.0000	77.0587
510.0000	77.0071
509.0000	77.4257
508.0000	77.9601
507.0000	78.4826
506.0000	78.6363
505.0000	78.317
504.0000	77.7664
503.0000	77.1812
502.0000	77.0191
501.0000	77.1933
500.0000	77.7127
499.0000	78.2323
498.0000	78.5234
497.0000	78.3918
496.0000	77.8379
495.0000	77.1984
494.0000	76.7658
493.0000	76.7225
492.0000	77.2868
491.0000	77.7558
490.0000	78.1938
489.0000	78.1572
488.0000	77.7473
487.0000	77.4017
486.0000	77.0906
485.0000	77.1221
484.0000	77.4464
483.0000	77.882
482.0000	78.174
481.0000	78.0047
480.0000	77.5357
479.0000	77.1691
478.0000	76.8291
477.0000	76.9269
476.0000	77.211
475.0000	77.5882
474.0000	77.7742
473.0000	77.5725
472.0000	77.417
471.0000	77.1351
470.0000	77.1666
469.0000	77.3635
468.0000	77.5948
467.0000	77.7957
466.0000	77.6987
465.0000	77.386
464.0000	77.2055
463.0000	77.1706
462.0000	77.2523
461.0000	77.2289
460.0000	77.2332
459.0000	77.2283
458.0000	77.1126
457.0000	77.1521
456.0000	77.0171
455.0000	76.9461
454.0000	76.8979
453.0000	76.8256
452.0000	76.9417
451.0000	76.8523
450.0000	76.6683
449.0000	76.5533
448.0000	76.5771
447.0000	76.6337
446.0000	76.5532
445.0000	76.528
444.0000	76.5461
443.0000	76.6377
442.0000	76.523
441.0000	76.2988
440.0000	76.3303
439.0000	76.5166
438.0000	76.3906
437.0000	76.3557
436.0000	76.0781
435.0000	75.9912
434.0000	76.2117
433.0000	76.3878
432.0000	76.4366
431.0000	76.269
430.0000	75.9926
429.0000	76.0782
428.0000	76.3479
427.0000	76.5324
426.0000	76.3137
425.0000	75.8264
424.0000	75.8274
423.0000	76.0412
422.0000	76.0921
421.0000	75.9706
420.0000	75.4304
419.0000	75.3231
418.0000	75.6723
417.0000	75.7403
416.0000	75.2999
415.0000	74.891
414.0000	74.8415
413.0000	75.2034
412.0000	75.5587
411.0000	75.4076
410.0000	75.1416
409.0000	75.1867
408.0000	75.457
407.0000	75.2835
406.0000	74.4602
405.0000	73.9399
404.0000	74.0214
403.0000	74.158
402.0000	73.7206
401.0000	73.6108
400.0000	73.7076
399.0000	74.0478
398.0000	74.083
397.0000	73.8677
396.0000	73.8387
395.0000	73.8267
394.0000	73.5041
393.0000	73.1461
392.0000	73.0298
391.0000	72.8919
390.0000	72.6351
389.0000	72.6816
388.0000	72.471
387.0000	72.2107
386.0000	71.8052
385.0000	71.4772
384.0000	71.1408
383.0000	70.6582
382.0000	69.9129
381.0000	69.497
380.0000	69.0318
379.0000	68.1347
378.0000	67.2779
377.0000	66.3165
376.0000	65.0816
375.0000	63.4573
374.0000	61.2942
373.0000	58.4445
372.0000	54.8186
371.0000	49.403
370.0000	43.4088
369.0000	35.2257
368.0000	26.8971
367.0000	18.9853
366.0000	12.405
365.0000	7.21548
364.0000	3.40798
363.0000	1.18449
362.0000	0.317968
361.0000	0.142858
360.0000	0.101814
359.0000	0.0664037
358.0000	0.074784
357.0000	0.0656266
356.0000	0.0476136
355.0000	0.0164511
354.0000	0.0591833
353.0000	0.052274
352.0000	0.0638582
351.0000	0.0446506
350.0000	0.0513856
349.0000	0.0377753
348.0000	0.0475473
347.0000	0.0261327
346.0000	-0.0149923
345.0000	0.0251458
344.0000	0.00311492
343.0000	0.0358394
342.0000	0.0977322
341.0000	0.0466435
340.0000	0.123348
339.0000	0.119232
338.0000	0.0897761
337.0000	0.15038
336.0000	0.214363
335.0000	0.109055
334.0000	0.00799282
333.0000	0.128402
332.0000	0.258977
331.0000	0.217725
330.0000	0.206044
329.0000	0.3193
328.0000	0.204015
327.0000	0.166377
326.0000	0.147048
325.0000	0.075755
324.0000	0.125082
323.0000	0.025541
322.0000	0.00974382
321.0000	0.0321031
320.0000	-0.0428711
319.0000	-0.0872367
318.0000	-0.0616547
317.0000	-0.131887
316.0000	-0.0142516
315.0000	0.0105377
314.0000	0.0539
313.0000	0.0098484
312.0000	0.0476578
311.0000	0.114702
310.0000	0.0394083
309.0000	0.166642
308.0000	0.195096
307.0000	0.201589
306.0000	0.134464
