TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	12:05:40
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    71.84466
MAXY	    80.26244
MINY	    -0.14054
XYDATA
727.0000	70.2971
726.0000	70.4644
725.0000	70.8623
724.0000	71.6814
723.0000	72.9026
722.0000	74.357
721.0000	75.7536
720.0000	77.2192
719.0000	78.5685
718.0000	79.4561
717.0000	79.9623
716.0000	79.6986
715.0000	78.914
714.0000	77.7442
713.0000	76.3028
712.0000	74.5806
711.0000	72.9966
710.0000	71.7823
709.0000	70.9947
708.0000	70.4858
707.0000	70.4516
706.0000	71.0143
705.0000	71.8243
704.0000	73.1437
703.0000	74.6419
702.0000	76.1283
701.0000	77.4846
700.0000	78.4769
699.0000	79.2125
698.0000	79.4009
697.0000	78.8973
696.0000	78.0668
695.0000	76.909
694.0000	75.4807
693.0000	73.9089
692.0000	72.5867
691.0000	71.6684
690.0000	70.9562
689.0000	70.8491
688.0000	71.2278
687.0000	72.1794
686.0000	73.5095
685.0000	74.9742
684.0000	76.4468
683.0000	77.7953
682.0000	78.9159
681.0000	79.3825
680.0000	79.4421
679.0000	78.7471
678.0000	77.6339
677.0000	76.3225
676.0000	74.7728
675.0000	73.2177
674.0000	71.8569
673.0000	71.036
672.0000	70.7556
671.0000	71.0962
670.0000	71.7663
669.0000	73.0136
668.0000	74.3331
667.0000	76.0134
666.0000	77.3075
665.0000	78.4064
664.0000	78.8356
663.0000	78.8245
662.0000	78.3512
661.0000	77.2299
660.0000	75.9237
659.0000	74.3012
658.0000	72.8332
657.0000	71.7611
656.0000	71.1448
655.0000	71.0298
654.0000	71.6221
653.0000	72.7333
652.0000	74.1028
651.0000	75.9003
650.0000	77.2388
649.0000	78.3152
648.0000	78.9094
