TITLE	12_7
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	17:32:36
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  300.0000
NPOINTS	    5501
FIRSTY	    83.09200
MAXY	    85.22060
MINY	     0.13344
XYDATA
819.9000	83.2289
819.8000	83.2403
819.7000	83.1406
819.6000	83.0195
819.5000	82.826
819.4000	82.7337
819.3000	82.5865
819.2000	82.431
819.1000	82.2374
819.0000	82.2589
818.9000	82.0453
818.8000	81.854
818.7000	81.7109
818.6000	81.6008
818.5000	81.4844
818.4000	81.3315
818.3000	81.4174
818.2000	81.1752
818.1000	80.976
818.0000	80.9035
817.9000	80.7362
817.8000	80.5854
817.7000	80.4701
817.6000	80.3895
817.5000	80.1953
817.4000	79.9092
817.3000	79.8765
817.2000	79.7356
817.1000	79.6006
817.0000	79.3479
816.9000	79.0969
816.8000	78.9265
816.7000	78.6735
816.6000	78.4173
816.5000	78.1858
816.4000	77.9477
816.3000	77.8863
816.2000	77.8064
816.1000	77.7642
816.0000	77.5696
815.9000	77.4898
815.8000	77.34
815.7000	77.0909
815.6000	76.8518
815.5000	76.7019
815.4000	76.4371
815.3000	76.3919
815.2000	76.2751
815.1000	76.0676
815.0000	76.0411
814.9000	76.0565
814.8000	75.8899
814.7000	75.6759
814.6000	75.4932
814.5000	75.3673
814.4000	75.3487
814.3000	75.2055
814.2000	75.1635
814.1000	75.1157
814.0000	74.9694
813.9000	74.8683
813.8000	74.9837
813.7000	74.8169
813.6000	74.6967
813.5000	74.6754
813.4000	74.6249
813.3000	74.4315
813.2000	74.4216
813.1000	74.3593
813.0000	74.1776
812.9000	74.025
812.8000	73.8406
812.7000	73.7718
812.6000	73.6539
812.5000	73.616
812.4000	73.5422
812.3000	73.483
812.2000	73.3175
812.1000	73.1779
812.0000	73.0633
811.9000	72.9527
811.8000	72.9311
811.7000	72.9065
811.6000	72.8072
811.5000	72.6987
811.4000	72.7735
811.3000	72.6475
811.2000	72.699
811.1000	72.8389
811.0000	72.9279
810.9000	72.9248
810.8000	73.0957
810.7000	73.0771
810.6000	73.1677
810.5000	73.2608
