TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	17:52:36
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  300.0000
NPOINTS	    5501
FIRSTY	    77.49433
MAXY	    77.74112
MINY	     0.11690
XYDATA
820.0000	76.4181
819.9000	76.3778
819.8000	76.4431
819.7000	76.3502
819.6000	76.4285
819.5000	76.5727
819.4000	76.6391
819.3000	76.4729
819.2000	76.4257
819.1000	76.4763
819.0000	76.6002
818.9000	76.4728
818.8000	76.4143
818.7000	76.5409
818.6000	76.6311
818.5000	76.5613
818.4000	76.4792
818.3000	76.734
818.2000	76.7677
818.1000	76.6345
818.0000	76.6133
817.9000	76.5978
817.8000	76.6087
817.7000	76.6516
817.6000	76.436
817.5000	76.3469
817.4000	76.358
817.3000	76.4042
817.2000	76.1089
817.1000	75.9711
817.0000	75.9971
816.9000	76.0644
816.8000	75.8906
816.7000	75.6371
816.6000	75.6447
816.5000	75.8071
816.4000	75.7708
816.3000	75.5547
816.2000	75.6159
816.1000	75.8473
816.0000	75.835
815.9000	75.6324
815.8000	75.5498
815.7000	75.8255
815.6000	75.9045
815.5000	75.6602
815.4000	75.3842
815.3000	75.5061
815.2000	75.711
815.1000	75.5917
815.0000	75.4352
814.9000	75.474
814.8000	75.2892
814.7000	75.317
814.6000	74.9819
814.5000	74.7706
814.4000	74.9105
814.3000	75.0159
814.2000	74.8103
814.1000	74.5039
814.0000	74.6174
813.9000	74.8909
813.8000	74.9213
813.7000	74.6371
813.6000	74.6463
813.5000	74.7456
813.4000	74.6431
813.3000	74.3319
813.2000	74.4716
813.1000	74.6882
813.0000	74.7175
812.9000	74.4721
812.8000	74.2297
812.7000	74.2658
812.6000	74.4269
812.5000	74.2859
812.4000	74.0836
812.3000	74.1545
812.2000	74.3031
812.1000	74.2196
812.0000	73.8397
811.9000	73.8419
811.8000	74.1997
811.7000	74.2691
811.6000	74.0308
811.5000	73.9601
811.4000	74.1256
811.3000	74.2148
811.2000	74.2231
811.1000	74.1936
811.0000	74.3794
810.9000	74.683
810.8000	74.6844
810.7000	74.3828
810.6000	74.3779
810.5000	74.6692
810.4000	74.763
810.3000	74.658
810.2000	74.4388
810.1000	74.6403
810.0000	74.6495
809.9000	74.4816
809.8000	74.3929
809.7000	74.6302
809.6000	74.6753
809.5000	74.5606
809.4000	74.2224
809.3000	74.216
809.2000	74.3444
809.1000	74.3825
809.0000	74.2066
808.9000	74.1735
808.8000	74.3403
808.7000	74.3734
808.6000	74.2346
808.5000	74.197
808.4000	74.3677
808.3000	74.3918
808.2000	74.3323
808.1000	74.2515
