TITLE	campione misterioso sotto il 6.3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/21
TIME	17:11:25
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	    76.18993
MAXY	    85.58321
MINY	     0.00549
XYDATA
2389.0000	80.3357
2388.0000	80.5576
2387.0000	80.6936
2386.0000	80.9285
2385.0000	81.0483
2384.0000	81.2196
2383.0000	81.3432
2382.0000	81.5442
2381.0000	81.7539
2380.0000	81.9037
2379.0000	82.1372
2378.0000	82.292
2377.0000	82.4707
2376.0000	82.609
2375.0000	82.8247
2374.0000	82.9906
2373.0000	83.0308
2372.0000	83.2173
2371.0000	83.352
2370.0000	83.5128
2369.0000	83.6553
2368.0000	83.7439
2367.0000	83.9148
2366.0000	84.0128
2365.0000	84.0688
2364.0000	84.1833
2363.0000	84.2962
2362.0000	84.3447
2361.0000	84.418
2360.0000	84.5311
2359.0000	84.622
2358.0000	84.7414
2357.0000	84.7994
2356.0000	84.8746
2355.0000	84.876
2354.0000	84.9124
2353.0000	84.934
2352.0000	84.9973
2351.0000	84.9602
2350.0000	84.9398
2349.0000	84.9644
2348.0000	84.9576
2347.0000	84.8699
2346.0000	84.8676
2345.0000	84.8596
2344.0000	84.8397
2343.0000	84.8391
2342.0000	84.8035
2341.0000	84.759
2340.0000	84.7288
2339.0000	84.6738
2338.0000	84.6147
2337.0000	84.5433
2336.0000	84.4716
2335.0000	84.3401
2334.0000	84.2777
2333.0000	84.135
2332.0000	83.9997
2331.0000	83.8772
2330.0000	83.7486
2329.0000	83.6544
2328.0000	83.5093
2327.0000	83.4258
2326.0000	83.3026
2325.0000	83.1762
2324.0000	82.9998
2323.0000	82.9045
2322.0000	82.7302
2321.0000	82.4869
2320.0000	82.3095
2319.0000	82.1059
2318.0000	81.8292
2317.0000	81.6289
2316.0000	81.3894
2315.0000	81.2211
2314.0000	81.0133
2313.0000	80.8163
2312.0000	80.6168
2311.0000	80.4533
2310.0000	80.2904
2309.0000	80.0597
2308.0000	79.9101
2307.0000	79.7316
2306.0000	79.5609
2305.0000	79.3532
2304.0000	79.1689
2303.0000	79.0195
2302.0000	78.7824
2301.0000	78.513
2300.0000	78.2895
2299.0000	78.0462
2298.0000	77.8379
2297.0000	77.6685
2296.0000	77.4381
2295.0000	77.3011
2294.0000	77.1687
2293.0000	76.945
2292.0000	76.7126
2291.0000	76.4652
2290.0000	76.366
2289.0000	76.0666
2288.0000	75.8305
2287.0000	75.713
2286.0000	75.4964
2285.0000	75.3203
2284.0000	75.1806
2283.0000	75.0022
2282.0000	74.899
2281.0000	74.6891
2280.0000	74.5151
2279.0000	74.3491
2278.0000	74.1391
2277.0000	73.9851
2276.0000	73.8129
2275.0000	73.6075
2274.0000	73.5404
2273.0000	73.4256
2272.0000	73.3241
2271.0000	73.1736
2270.0000	72.9504
2269.0000	72.906
2268.0000	72.7941
2267.0000	72.6971
2266.0000	72.5486
2265.0000	72.6174
2264.0000	72.5278
2263.0000	72.4819
2262.0000	72.3554
2261.0000	72.2865
2260.0000	72.2032
2259.0000	72.0817
2258.0000	71.9597
2257.0000	71.9005
2256.0000	71.8953
2255.0000	71.9308
2254.0000	71.8233
2253.0000	71.7626
2252.0000	71.8499
2251.0000	71.9088
2250.0000	71.8763
2249.0000	71.872
2248.0000	71.7862
2247.0000	71.9096
2246.0000	71.8977
2245.0000	71.9688
2244.0000	71.9407
2243.0000	72.0185
2242.0000	72.062
2241.0000	72.1153
2240.0000	72.1586
2239.0000	72.2044
2238.0000	72.309
2237.0000	72.3634
2236.0000	72.5066
2235.0000	72.6482
2234.0000	72.7139
2233.0000	72.8074
2232.0000	72.8575
2231.0000	72.9445
2230.0000	73.0359
2229.0000	73.1048
2228.0000	73.2703
2227.0000	73.4518
2226.0000	73.6743
2225.0000	73.89
2224.0000	74.0249
2223.0000	74.2128
2222.0000	74.4567
2221.0000	74.5456
2220.0000	74.7359
2219.0000	74.8807
2218.0000	75.0652
2217.0000	75.198
2216.0000	75.3654
2215.0000	75.5376
2214.0000	75.7136
2213.0000	75.9176
2212.0000	76.1588
2211.0000	76.3229
2210.0000	76.554
2209.0000	76.7976
2208.0000	76.9922
2207.0000	77.2362
2206.0000	77.5812
2205.0000	77.7696
2204.0000	78.0287
2203.0000	78.2293
2202.0000	78.5178
2201.0000	78.7117
2200.0000	78.9289
2199.0000	79.1779
2198.0000	79.4139
2197.0000	79.6458
2196.0000	79.8971
2195.0000	80.0865
2194.0000	80.4291
2193.0000	80.6107
2192.0000	80.8429
2191.0000	81.0982
2190.0000	81.3903
2189.0000	81.6735
2188.0000	81.8268
2187.0000	82.0118
2186.0000	82.2616
2185.0000	82.3834
2184.0000	82.6132
2183.0000	82.7534
2182.0000	82.9396
2181.0000	83.1352
2180.0000	83.3488
2179.0000	83.5938
2178.0000	83.7708
2177.0000	83.9549
2176.0000	84.1105
2175.0000	84.2594
2174.0000	84.399
2173.0000	84.5257
2172.0000	84.664
2171.0000	84.7793
2170.0000	84.9744
2169.0000	85.0003
2168.0000	85.0799
2167.0000	85.1488
2166.0000	85.218
2165.0000	85.3178
2164.0000	85.2909
2163.0000	85.4208
2162.0000	85.4113
2161.0000	85.5087
2160.0000	85.5451
2159.0000	85.5688
2158.0000	85.5709
2157.0000	85.492
2156.0000	85.5282
2155.0000	85.5832
2154.0000	85.5507
2153.0000	85.4875
2152.0000	85.4028
2151.0000	85.3083
2150.0000	85.302
2149.0000	85.1866
2148.0000	85.0537
2147.0000	84.895
2146.0000	84.7779
2145.0000	84.5681
2144.0000	84.4546
2143.0000	84.2145
2142.0000	84.0153
2141.0000	83.9174
2140.0000	83.7172
2139.0000	83.573
2138.0000	83.4261
2137.0000	83.2434
2136.0000	83.1014
2135.0000	82.9094
2134.0000	82.6754
2133.0000	82.5002
2132.0000	82.307
2131.0000	82.0238
2130.0000	81.7838
2129.0000	81.6038
2128.0000	81.4177
2127.0000	81.1417
2126.0000	80.9469
2125.0000	80.6469
2124.0000	80.4661
2123.0000	80.2097
2122.0000	79.9145
2121.0000	79.7149
2120.0000	79.4509
2119.0000	79.1862
2118.0000	78.977
2117.0000	78.7004
2116.0000	78.4816
2115.0000	78.1701
2114.0000	77.9273
2113.0000	77.6963
2112.0000	77.4415
2111.0000	77.2938
2110.0000	76.971
2109.0000	76.7562
2108.0000	76.5417
2107.0000	76.2975
2106.0000	76.1001
2105.0000	75.8009
2104.0000	75.5947
2103.0000	75.4162
2102.0000	75.2379
2101.0000	75.0101
2100.0000	74.8717
2099.0000	74.6593
2098.0000	74.4279
2097.0000	74.3294
2096.0000	74.2039
2095.0000	74.0211
2094.0000	73.8161
2093.0000	73.6766
2092.0000	73.5073
2091.0000	73.4277
2090.0000	73.2186
2089.0000	73.0417
2088.0000	72.9173
2087.0000	72.7974
2086.0000	72.7437
2085.0000	72.5946
2084.0000	72.5347
2083.0000	72.4212
2082.0000	72.3997
2081.0000	72.2898
2080.0000	72.1962
2079.0000	72.1506
2078.0000	72.1573
2077.0000	72.1411
2076.0000	72.0614
2075.0000	72.1012
2074.0000	72.0663
2073.0000	72.1156
2072.0000	72.1101
2071.0000	72.1647
2070.0000	72.1842
2069.0000	72.2291
2068.0000	72.3183
2067.0000	72.3472
2066.0000	72.4589
2065.0000	72.4895
2064.0000	72.5934
2063.0000	72.7711
2062.0000	72.7864
2061.0000	72.9522
2060.0000	73.0925
2059.0000	73.2058
2058.0000	73.3182
2057.0000	73.4903
2056.0000	73.5932
2055.0000	73.7559
2054.0000	73.9032
2053.0000	74.0661
2052.0000	74.2145
2051.0000	74.3811
2050.0000	74.6098
2049.0000	74.853
2048.0000	75.0684
2047.0000	75.2476
2046.0000	75.4697
2045.0000	75.7037
2044.0000	75.8929
2043.0000	76.1485
2042.0000	76.3507
2041.0000	76.5868
2040.0000	76.8239
2039.0000	77.1108
2038.0000	77.4466
2037.0000	77.6594
2036.0000	77.8438
2035.0000	78.1907
2034.0000	78.4714
2033.0000	78.733
2032.0000	79.0391
2031.0000	79.3428
2030.0000	79.6073
2029.0000	79.8699
2028.0000	80.1649
2027.0000	80.5015
2026.0000	80.6429
2025.0000	80.932
2024.0000	81.184
2023.0000	81.4353
2022.0000	81.6787
2021.0000	81.8621
2020.0000	82.1841
2019.0000	82.4366
2018.0000	82.6547
2017.0000	82.8528
2016.0000	83.0323
2015.0000	83.2236
2014.0000	83.4608
2013.0000	83.5838
2012.0000	83.7103
2011.0000	83.926
2010.0000	84.0609
2009.0000	84.2602
2008.0000	84.3808
2007.0000	84.547
2006.0000	84.7061
2005.0000	84.7801
2004.0000	84.9456
2003.0000	84.9547
2002.0000	85.0203
2001.0000	85.1031
2000.0000	85.1314
1999.0000	85.229
1998.0000	85.1851
1997.0000	85.2277
1996.0000	85.2715
1995.0000	85.2004
1994.0000	85.1015
1993.0000	85.0589
1992.0000	84.9465
1991.0000	84.9204
1990.0000	84.8396
1989.0000	84.736
1988.0000	84.6784
1987.0000	84.499
1986.0000	84.4298
1985.0000	84.2376
1984.0000	84.0382
1983.0000	83.8739
1982.0000	83.6979
1981.0000	83.5581
1980.0000	83.3387
1979.0000	83.0854
1978.0000	82.822
1977.0000	82.538
1976.0000	82.3245
1975.0000	82.1006
1974.0000	81.832
1973.0000	81.5885
1972.0000	81.3627
1971.0000	81.1341
1970.0000	80.849
1969.0000	80.5891
1968.0000	80.3485
1967.0000	80.0992
1966.0000	79.8217
1965.0000	79.5256
1964.0000	79.2695
1963.0000	78.9915
1962.0000	78.6497
1961.0000	78.3477
1960.0000	78.0657
1959.0000	77.8095
1958.0000	77.5642
1957.0000	77.3124
1956.0000	77.1093
1955.0000	76.8306
1954.0000	76.5541
1953.0000	76.2516
1952.0000	75.9689
1951.0000	75.7283
1950.0000	75.4173
1949.0000	75.1482
1948.0000	74.974
1947.0000	74.7491
1946.0000	74.6293
1945.0000	74.3811
1944.0000	74.1908
1943.0000	74.0727
1942.0000	73.8882
1941.0000	73.7509
1940.0000	73.5768
1939.0000	73.4927
1938.0000	73.32
1937.0000	73.2457
1936.0000	73.1766
1935.0000	72.9729
1934.0000	72.9541
1933.0000	72.7771
1932.0000	72.7329
1931.0000	72.6622
1930.0000	72.6391
1929.0000	72.7281
1928.0000	72.7617
1927.0000	72.7224
1926.0000	72.7862
1925.0000	72.664
1924.0000	72.5987
1923.0000	72.5595
1922.0000	72.5468
1921.0000	72.6249
1920.0000	72.6549
1919.0000	72.7789
1918.0000	72.8645
1917.0000	73.006
1916.0000	73.0575
1915.0000	73.1165
1914.0000	73.2423
1913.0000	73.3864
1912.0000	73.6308
1911.0000	73.7643
1910.0000	73.9975
1909.0000	74.2601
1908.0000	74.4561
1907.0000	74.7092
1906.0000	74.8853
1905.0000	75.2019
1904.0000	75.4838
1903.0000	75.688
1902.0000	76.0206
1901.0000	76.2592
1900.0000	76.47
1899.0000	76.7238
1898.0000	76.9595
1897.0000	77.2026
1896.0000	77.4162
1895.0000	77.6826
1894.0000	77.8347
1893.0000	78.1443
1892.0000	78.4172
1891.0000	78.7596
1890.0000	79.0882
1889.0000	79.417
1888.0000	79.7948
1887.0000	80.0972
1886.0000	80.4373
1885.0000	80.7941
1884.0000	81.0796
1883.0000	81.3776
1882.0000	81.6251
1881.0000	81.9184
1880.0000	82.1948
1879.0000	82.3773
1878.0000	82.6618
1877.0000	82.8224
1876.0000	82.9427
1875.0000	83.0704
1874.0000	83.2336
1873.0000	83.5209
