TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	15:21:01
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	   100.74783
MAXY	   101.09960
MINY	    99.97169
XYDATA
2202.0000	100.404
2201.0000	100.415
2200.0000	100.45
2199.0000	100.471
2198.0000	100.534
2197.0000	100.555
2196.0000	100.567
2195.0000	100.599
2194.0000	100.616
2193.0000	100.619
2192.0000	100.568
2191.0000	100.493
2190.0000	100.468
2189.0000	100.427
2188.0000	100.421
2187.0000	100.42
2186.0000	100.364
2185.0000	100.411
2184.0000	100.455
2183.0000	100.45
2182.0000	100.48
2181.0000	100.405
2180.0000	100.412
2179.0000	100.424
2178.0000	100.456
2177.0000	100.416
2176.0000	100.409
2175.0000	100.46
2174.0000	100.438
2173.0000	100.507
2172.0000	100.464
2171.0000	100.523
2170.0000	100.506
2169.0000	100.523
2168.0000	100.545
2167.0000	100.456
2166.0000	100.47
2165.0000	100.451
2164.0000	100.467
2163.0000	100.464
2162.0000	100.44
2161.0000	100.407
2160.0000	100.371
2159.0000	100.341
2158.0000	100.357
2157.0000	100.386
2156.0000	100.323
2155.0000	100.409
2154.0000	100.413
2153.0000	100.452
2152.0000	100.491
2151.0000	100.443
2150.0000	100.492
2149.0000	100.464
2148.0000	100.45
2147.0000	100.438
2146.0000	100.442
2145.0000	100.424
2144.0000	100.331
2143.0000	100.371
2142.0000	100.404
2141.0000	100.382
2140.0000	100.316
2139.0000	100.382
2138.0000	100.434
2137.0000	100.436
2136.0000	100.377
2135.0000	100.447
2134.0000	100.449
2133.0000	100.491
2132.0000	100.427
2131.0000	100.443
2130.0000	100.571
2129.0000	100.579
2128.0000	100.573
2127.0000	100.58
2126.0000	100.548
2125.0000	100.612
2124.0000	100.56
2123.0000	100.593
2122.0000	100.506
2121.0000	100.544
2120.0000	100.497
2119.0000	100.496
2118.0000	100.479
