TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	09:47:16
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	  -500.00000
MAXY	  -500.00000
MINY	  -500.00000
XYDATA
2247.0000	-17764
2246.0000	-17777.3
2245.0000	-17783
2244.0000	-17757.9
2243.0000	-17755.5
2242.0000	-17753.8
2241.0000	-17742.5
2240.0000	-17738.4
2239.0000	-17712.9
2238.0000	-17723
2237.0000	-17701.3
2236.0000	-17717.6
2235.0000	-17697.9
2234.0000	-17708
2233.0000	-17702.2
2232.0000	-17693.8
2231.0000	-17715.4
2230.0000	-17719.6
2229.0000	-17729.8
2228.0000	-17720.6
2227.0000	-17710.9
2226.0000	-17694.7
2225.0000	-17698.1
2224.0000	-17669.5
2223.0000	-17666.2
2222.0000	-17641.3
2221.0000	-17635.1
2220.0000	-17637.5
2219.0000	-17644
2218.0000	-17639.8
2217.0000	-17614.5
2216.0000	-17644.9
2215.0000	-17632.7
2214.0000	-17635.4
2213.0000	-17624.9
2212.0000	-17611.2
2211.0000	-17624.4
2210.0000	-17630.4
2209.0000	-17630.7
2208.0000	-17623.7
2207.0000	-17632.3
2206.0000	-17680.5
2205.0000	-17696.2
2204.0000	-17716.6
2203.0000	-17744.9
2202.0000	-17775.6
2201.0000	-17812.2
2200.0000	-17832.3
2199.0000	-17848.5
2198.0000	-17891.7
2197.0000	-17924.1
2196.0000	-17979.9
2195.0000	-17996
2194.0000	-18022.9
2193.0000	-18052.7
2192.0000	-18083.1
2191.0000	-18106.7
2190.0000	-18114.8
2189.0000	-18109.4
2188.0000	-18137.7
2187.0000	-18148.2
2186.0000	-18148.3
2185.0000	-18165.6
2184.0000	-18174.6
2183.0000	-18200.6
2182.0000	-18246.3
2181.0000	-18268.4
2180.0000	-18297.1
2179.0000	-18288.1
2178.0000	-18294.4
2177.0000	-18298.2
2176.0000	-18285.9
2175.0000	-18286.9
2174.0000	-18286.5
2173.0000	-18305.9
2172.0000	-18328
2171.0000	-18361
2170.0000	-18372.5
2169.0000	-18384.4
2168.0000	-18399.3
2167.0000	-18393.8
2166.0000	-18405.6
2165.0000	-18396.4
2164.0000	-18418.9
2163.0000	-18411.8
2162.0000	-18407.8
2161.0000	-18445.1
2160.0000	-18446.1
2159.0000	-18473.6
2158.0000	-18452.3
2157.0000	-18470.8
2156.0000	-18487.2
2155.0000	-18486.2
2154.0000	-18480.2
2153.0000	-18499.9
2152.0000	-18523.9
2151.0000	-18521.6
2150.0000	-18538.7
2149.0000	-18534.8
2148.0000	-18551.7
2147.0000	-18547.8
2146.0000	-18537.6
2145.0000	-18536.6
2144.0000	-18529.4
2143.0000	-18535.7
2142.0000	-18537.3
2141.0000	-18538.6
2140.0000	-18552.8
2139.0000	-18564.8
2138.0000	-18569.5
2137.0000	-18589.9
2136.0000	-18562.6
2135.0000	-18580.5
2134.0000	-18611.4
2133.0000	-18601.3
2132.0000	-18622.4
2131.0000	-18623.9
2130.0000	-18627.2
2129.0000	-18637.5
2128.0000	-18621.3
2127.0000	-18627.8
2126.0000	-18623
2125.0000	-18616.1
2124.0000	-18633.1
2123.0000	-18633.4
2122.0000	-18646.9
2121.0000	-18658.4
2120.0000	-18690.1
2119.0000	-18697
2118.0000	-18686.4
2117.0000	-18697.3
2116.0000	-18705.3
2115.0000	-18686.5
2114.0000	-18662.5
2113.0000	-18650.1
2112.0000	-18656.9
2111.0000	-18667.3
2110.0000	-18667.1
2109.0000	-18666
2108.0000	-18713.3
2107.0000	-18713.1
2106.0000	-18727.3
2105.0000	-18730.9
2104.0000	-18708
2103.0000	-18725.3
2102.0000	-18699.6
2101.0000	-18733.2
2100.0000	-18736.7
2099.0000	-18729.2
2098.0000	-18745
2097.0000	-18752.4
2096.0000	-18768.6
2095.0000	-18749.3
2094.0000	-18747.9
2093.0000	-18759.1
2092.0000	-18759.8
2091.0000	-18759.6
2090.0000	-18743.2
2089.0000	-18749.2
2088.0000	-18757.4
2087.0000	-18771.4
2086.0000	-18771.1
2085.0000	-18770.2
2084.0000	-18769.7
2083.0000	-18769.8
2082.0000	-18784.8
2081.0000	-18767.5
2080.0000	-18787.8
2079.0000	-18777.9
2078.0000	-18783.8
2077.0000	-18790.9
2076.0000	-18807.6
2075.0000	-18800.9
2074.0000	-18786.5
2073.0000	-18810.8
2072.0000	-18826.9
2071.0000	-18826.7
2070.0000	-18811.5
2069.0000	-18815.1
2068.0000	-18827
2067.0000	-18804.6
2066.0000	-18806.7
2065.0000	-18813.8
2064.0000	-18832.2
2063.0000	-18831.1
2062.0000	-18837.2
2061.0000	-18846.4
2060.0000	-18841.8
2059.0000	-18837.1
2058.0000	-18838.8
2057.0000	-18847.4
2056.0000	-18847.9
2055.0000	-18843.1
2054.0000	-18860.7
2053.0000	-18850.1
2052.0000	-18859.9
2051.0000	-18854.6
2050.0000	-18850.9
2049.0000	-18854
2048.0000	-18854
2047.0000	-18878.8
2046.0000	-18868.9
2045.0000	-18884.1
2044.0000	-18908
2043.0000	-18901.9
2042.0000	-18904.2
2041.0000	-18893.4
2040.0000	-18917.5
2039.0000	-18934.8
2038.0000	-18913.2
2037.0000	-18934.1
2036.0000	-18933.6
2035.0000	-18952
2034.0000	-18942.9
2033.0000	-18956.7
2032.0000	-18971.8
2031.0000	-18978.8
2030.0000	-18976
2029.0000	-18977.1
2028.0000	-18993.3
2027.0000	-18983.4
2026.0000	-18953.9
2025.0000	-18960.2
2024.0000	-18952.4
2023.0000	-18953.2
2022.0000	-18958.1
2021.0000	-18953.3
2020.0000	-18967.5
2019.0000	-18954.1
2018.0000	-18952.1
2017.0000	-18952.2
2016.0000	-18950.7
2015.0000	-18972.8
2014.0000	-18978.7
2013.0000	-18980.5
2012.0000	-18999.6
2011.0000	-19013.9
2010.0000	-19019.9
2009.0000	-19036.2
2008.0000	-19043
2007.0000	-19029.3
2006.0000	-19034.2
2005.0000	-19020.6
2004.0000	-19045.3
2003.0000	-19022.7
2002.0000	-18994
2001.0000	-19021.1
2000.0000	-19015.1
1999.0000	-19012.8
1998.0000	-19005.2
1997.0000	-19002.7
1996.0000	-19053.1
1995.0000	-19067.3
1994.0000	-19075.5
1993.0000	-19075.2
1992.0000	-19096
1991.0000	-19125.1
1990.0000	-19120
1989.0000	-19136.1
1988.0000	-19142.4
1987.0000	-19171.3
1986.0000	-19149.8
1985.0000	-19165.6
1984.0000	-19166.5
1983.0000	-19168.2
1982.0000	-19166
1981.0000	-19144.1
1980.0000	-19166.6
1979.0000	-19164.6
1978.0000	-19171.1
1977.0000	-19149.5
1976.0000	-19142.1
1975.0000	-19139.3
1974.0000	-19164.2
1973.0000	-19172.1
1972.0000	-19187.9
1971.0000	-19213.5
1970.0000	-19225.5
1969.0000	-19267.3
1968.0000	-19286.8
1967.0000	-19298.5
1966.0000	-19293.1
1965.0000	-19287.1
1964.0000	-19309.7
1963.0000	-19272.9
1962.0000	-19283.3
1961.0000	-19265.6
1960.0000	-19237
1959.0000	-19209
1958.0000	-19182.8
1957.0000	-19158
1956.0000	-19135.6
1955.0000	-19104.2
1954.0000	-19098.4
1953.0000	-19078.6
1952.0000	-19072.8
1951.0000	-19056.5
1950.0000	-19028.8
1949.0000	-19012.5
1948.0000	-18997.9
1947.0000	-18986.3
1946.0000	-18945.7
1945.0000	-18935.9
1944.0000	-18911.1
1943.0000	-18869.1
1942.0000	-18825.1
1941.0000	-18809.3
1940.0000	-18773.3
1939.0000	-18750
1938.0000	-18735
1937.0000	-18710.4
1936.0000	-18738.7
1935.0000	-18726
1934.0000	-18702
1933.0000	-18672.7
1932.0000	-18639.1
1931.0000	-18577.8
1930.0000	-18535.3
1929.0000	-18496.5
1928.0000	-18485.4
1927.0000	-18499.8
1926.0000	-18455.9
