TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	15:13:29
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	   100.46647
MAXY	   100.92569
MINY	    99.65479
XYDATA
2378.0000	100.304
2377.0000	100.408
2376.0000	100.411
2375.0000	100.31
2374.0000	100.325
2373.0000	100.302
2372.0000	100.355
2371.0000	100.347
2370.0000	100.293
2369.0000	100.309
2368.0000	100.292
2367.0000	100.3
2366.0000	100.34
2365.0000	100.266
2364.0000	100.245
2363.0000	100.231
2362.0000	100.261
2361.0000	100.277
2360.0000	100.313
2359.0000	100.314
2358.0000	100.354
2357.0000	100.287
2356.0000	100.335
2355.0000	100.242
2354.0000	100.3
2353.0000	100.288
2352.0000	100.341
2351.0000	100.371
2350.0000	100.434
2349.0000	100.389
2348.0000	100.397
2347.0000	100.397
2346.0000	100.357
2345.0000	100.337
2344.0000	100.322
2343.0000	100.403
2342.0000	100.438
2341.0000	100.422
2340.0000	100.406
2339.0000	100.417
2338.0000	100.404
2337.0000	100.389
2336.0000	100.383
2335.0000	100.4
2334.0000	100.389
2333.0000	100.416
2332.0000	100.44
2331.0000	100.492
2330.0000	100.473
2329.0000	100.375
2328.0000	100.363
2327.0000	100.363
2326.0000	100.317
2325.0000	100.269
2324.0000	100.256
2323.0000	100.336
2322.0000	100.4
2321.0000	100.381
2320.0000	100.371
2319.0000	100.353
2318.0000	100.32
2317.0000	100.282
2316.0000	100.231
2315.0000	100.233
2314.0000	100.257
2313.0000	100.285
2312.0000	100.338
2311.0000	100.293
2310.0000	100.321
2309.0000	100.318
2308.0000	100.247
2307.0000	100.27
2306.0000	100.25
2305.0000	100.237
2304.0000	100.246
2303.0000	100.298
2302.0000	100.33
2301.0000	100.39
2300.0000	100.419
2299.0000	100.405
2298.0000	100.397
2297.0000	100.442
2296.0000	100.482
2295.0000	100.444
2294.0000	100.484
2293.0000	100.46
2292.0000	100.454
2291.0000	100.456
2290.0000	100.313
2289.0000	100.355
2288.0000	100.284
2287.0000	100.309
2286.0000	100.309
2285.0000	100.309
2284.0000	100.257
2283.0000	100.269
2282.0000	100.21
2281.0000	100.282
2280.0000	100.265
2279.0000	100.219
2278.0000	100.204
2277.0000	100.25
2276.0000	100.287
2275.0000	100.332
2274.0000	100.36
2273.0000	100.402
2272.0000	100.463
2271.0000	100.48
2270.0000	100.433
2269.0000	100.44
2268.0000	100.42
2267.0000	100.377
2266.0000	100.393
2265.0000	100.33
2264.0000	100.333
2263.0000	100.338
2262.0000	100.333
2261.0000	100.284
2260.0000	100.298
2259.0000	100.338
2258.0000	100.341
2257.0000	100.353
2256.0000	100.366
2255.0000	100.392
2254.0000	100.406
2253.0000	100.414
2252.0000	100.334
2251.0000	100.336
2250.0000	100.423
2249.0000	100.387
2248.0000	100.346
2247.0000	100.398
2246.0000	100.406
2245.0000	100.437
2244.0000	100.363
2243.0000	100.31
2242.0000	100.287
2241.0000	100.266
2240.0000	100.282
2239.0000	100.374
2238.0000	100.363
2237.0000	100.455
2236.0000	100.44
2235.0000	100.44
2234.0000	100.462
2233.0000	100.48
2232.0000	100.422
2231.0000	100.407
2230.0000	100.406
2229.0000	100.433
2228.0000	100.378
2227.0000	100.325
2226.0000	100.338
2225.0000	100.423
2224.0000	100.361
2223.0000	100.342
2222.0000	100.415
2221.0000	100.415
2220.0000	100.363
2219.0000	100.388
2218.0000	100.344
2217.0000	100.329
2216.0000	100.326
2215.0000	100.367
2214.0000	100.323
2213.0000	100.358
2212.0000	100.309
2211.0000	100.319
2210.0000	100.356
2209.0000	100.401
2208.0000	100.363
2207.0000	100.353
2206.0000	100.256
2205.0000	100.272
2204.0000	100.275
2203.0000	100.277
2202.0000	100.211
2201.0000	100.235
2200.0000	100.287
2199.0000	100.322
2198.0000	100.407
2197.0000	100.36
2196.0000	100.355
2195.0000	100.367
2194.0000	100.399
2193.0000	100.362
2192.0000	100.309
2191.0000	100.296
2190.0000	100.212
2189.0000	100.262
2188.0000	100.246
2187.0000	100.216
2186.0000	100.215
2185.0000	100.288
